Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90
Ben Brereton,CHI,FW,Sheffield Utd,25.0,1999.0,11,11,856,9.5,0.53,0.11,0.63,0.53,0.63,0.45,0.11,0.57,0.45,0.57,0.0,0.32,6.32,2.0,2.84
Rhian Brewster,ENG,FW,Sheffield Utd,24.0,2000.0,11,3,307,3.4,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.11,0.08,0.11,0.29,0.0,5.0,0.29,0.59
Armando Broja,ALB,FW,Chelsea,22.0,2001.0,13,6,454,5.0,0.2,0.0,0.2,0.2,0.2,0.47,0.03,0.5,0.47,0.5,0.0,0.0,7.4,2.2,1.2
Armando Broja,ALB,FW,Fulham,22.0,2001.0,7,0,64,0.7,0.0,1.41,1.41,0.0,1.41,0.0,0.56,0.56,0.0,0.56,0.0,0.0,10.0,2.86,2.86
Andre Brooks,ENG,MF,Sheffield Utd,20.0,2003.0,17,10,790,8.8,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,0.0,0.11,2.39,1.02,1.59
David Brooks,WAL,FW,Bournemouth,26.0,1997.0,13,2,282,3.1,0.32,0.32,0.64,0.32,0.64,0.7,0.33,1.03,0.7,1.03,0.0,0.32,8.71,2.58,6.77
Jacob Brown,SCO,MF,Luton Town,26.0,1998.0,19,12,1019,11.3,0.18,0.0,0.18,0.18,0.18,0.25,0.06,0.3,0.25,0.3,0.0,0.35,4.69,2.21,1.68
Josh Brownhill,ENG,MF,Burnley,28.0,1995.0,31,22,2152,23.9,0.17,0.08,0.25,0.17,0.25,0.08,0.08,0.16,0.08,0.16,0.04,0.13,1.34,0.71,3.56
Jacob Bruun Larsen,DEN,MF,Burnley,25.0,1998.0,29,13,1063,11.8,0.42,0.0,0.42,0.34,0.34,0.37,0.08,0.46,0.31,0.39,0.0,0.0,10.68,4.75,2.8
Hugo Bueno,ESP,DF,Wolves,21.0,2002.0,20,6,658,7.3,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.04,0.12,0.0,0.14,5.34,2.88,0.96
Santiago Bueno,URU,DF,Wolves,25.0,1998.0,10,8,719,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.38,1.25
Facundo Buonanotte,ARG,FW,Brighton,19.0,2004.0,24,14,1169,13.0,0.23,0.08,0.31,0.23,0.31,0.18,0.13,0.31,0.18,0.31,0.0,0.54,4.85,1.54,2.69
Reece Burke,ENG,DF,Luton Town,27.0,1996.0,20,18,1484,16.5,0.0,0.24,0.24,0.0,0.24,0.08,0.08,0.16,0.08,0.16,0.0,0.24,0.79,0.55,3.27
Dan Burn,ENG,DF,Newcastle Utd,31.0,1992.0,29,28,2366,26.3,0.08,0.08,0.15,0.08,0.15,0.1,0.04,0.15,0.1,0.15,0.0,0.11,0.95,0.49,2.59
Mason Burstow,ENG,FW,Chelsea,20.0,2003.0,2,0,9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Moisés Caicedo,ECU,MF,Chelsea,22.0,2001.0,30,28,2443,27.1,0.0,0.04,0.04,0.0,0.04,0.01,0.06,0.07,0.01,0.07,0.0,0.37,0.81,0.7,5.2
Tom Cairney,SCO,MF,Fulham,33.0,1991.0,31,14,1411,15.7,0.06,0.26,0.32,0.06,0.32,0.07,0.14,0.2,0.07,0.2,0.0,0.13,4.52,2.17,8.92
Dominic Calvert-Lewin,ENG,FW,Everton,27.0,1997.0,29,23,1940,21.6,0.28,0.05,0.32,0.23,0.28,0.52,0.08,0.6,0.49,0.56,0.0,0.05,4.81,1.34,1.34
Thomas Cannon,IRL,FW,Everton,21.0,2002.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
