Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Michail Antonio,JAM,FW,West Ham,34.0,1990.0,16.4,0.85,0.43,0.24,0.37,0.24,0.18,0.61,30.0,0.43,0.98,0.18,0.79,0.24,1.1,0.12,0.0
Antony,BRA,FW,Manchester Utd,24.0,2000.0,13.8,2.83,1.52,1.01,1.38,0.43,1.38,2.75,50.0,1.38,1.88,0.07,1.81,0.8,3.62,0.58,0.0
Oliver Arblaster,ENG,MF,Sheffield Utd,19.0,2004.0,8.1,2.35,1.36,0.99,0.99,0.37,0.74,1.48,50.0,0.74,1.98,0.86,1.11,1.48,3.83,0.86,0.0
Cameron Archer,ENG,FW,Sheffield Utd,22.0,2001.0,18.0,0.83,0.56,0.33,0.28,0.22,0.33,0.83,40.0,0.5,1.06,0.17,0.89,0.06,0.89,0.56,0.0
Cameron Archer,ENG,MF,Aston Villa,22.0,2001.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alphonse Areola,FRA,GK,West Ham,31.0,1993.0,27.0,0.04,0.04,0.04,0.0,0.0,0.04,0.11,33.3,0.07,0.0,0.0,0.0,0.04,0.07,0.48,0.0
Lorenz Assignon,TOG,DF,Burnley,23.0,2000.0,11.2,2.41,1.07,1.34,0.8,0.27,1.07,2.14,50.0,1.07,1.7,0.63,1.07,1.25,3.66,3.21,0.09
Serge Aurier,CIV,DF,Nott'ham Forest,31.0,1992.0,9.3,2.15,1.51,0.97,1.18,0.0,0.54,1.18,45.5,0.65,1.08,0.32,0.75,0.97,3.12,3.87,0.11
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,26.0,1997.0,11.4,0.79,0.61,0.09,0.35,0.35,0.09,0.18,50.0,0.09,0.61,0.18,0.44,0.09,0.88,0.79,0.0
Jordan Ayew,GHA,FW,Crystal Palace,32.0,1991.0,28.2,2.3,1.28,0.82,0.99,0.5,0.74,1.49,50.0,0.74,1.52,0.07,1.45,0.57,2.87,0.53,0.0
Benoît Badiashile,FRA,DF,Chelsea,23.0,2001.0,11.2,1.61,1.16,0.98,0.63,0.0,0.8,1.16,69.2,0.36,1.52,0.98,0.54,1.07,2.68,4.02,0.18
Leon Bailey,JAM,MF,Aston Villa,26.0,1997.0,21.0,0.48,0.24,0.24,0.14,0.1,0.19,0.81,23.5,0.62,0.76,0.05,0.71,0.38,0.86,0.29,0.0
George Baldock,GRE,DF,Sheffield Utd,31.0,1993.0,10.8,1.67,0.93,0.93,0.65,0.09,0.56,1.39,40.0,0.83,1.3,0.74,0.56,0.93,2.59,3.06,0.0
Carlos Baleba,CMR,MF,Brighton,20.0,2004.0,13.5,2.67,1.26,1.19,1.19,0.3,1.56,2.96,52.5,1.41,2.3,0.44,1.85,1.26,3.93,2.0,0.22
Fodé Ballo-Touré,SEN,DF,Fulham,27.0,1997.0,0.6,5.0,3.33,1.67,3.33,0.0,1.67,1.67,100.0,0.0,1.67,0.0,1.67,5.0,10.0,3.33,0.0
Shandon Baptiste,GRN,MF,Brentford,26.0,1998.0,2.5,1.6,1.6,0.8,0.8,0.0,0.4,2.0,20.0,1.6,2.0,0.4,1.6,1.2,2.8,2.4,0.0
Valentín Barco,ARG,DF,Brighton,19.0,2004.0,2.0,2.5,1.0,1.5,0.5,0.5,1.5,2.5,60.0,1.0,1.5,0.0,1.5,0.5,3.0,1.0,0.5
Ross Barkley,ENG,MF,Luton Town,30.0,1993.0,27.7,1.7,0.69,0.58,0.76,0.36,0.4,1.73,22.9,1.34,0.76,0.25,0.51,0.9,2.6,1.81,0.07
Harvey Barnes,ENG,FW,Newcastle Utd,26.0,1997.0,7.5,0.67,0.13,0.27,0.27,0.13,0.13,0.27,50.0,0.13,0.0,0.0,0.0,0.4,1.07,0.27,0.0
Chris Basham,ENG,DF,Sheffield Utd,35.0,1988.0,3.6,1.94,0.56,1.11,0.83,0.0,0.56,2.5,22.2,1.94,2.5,1.11,1.39,1.39,3.33,4.72,0.0
Calvin Bassey,NGA,DF,Fulham,24.0,1999.0,22.6,1.95,1.11,1.37,0.53,0.04,0.8,1.11,72.0,0.31,1.15,0.4,0.75,1.19,3.14,3.36,0.18
Owen Beck,WAL,DF,Liverpool,21.0,2002.0,0.1,20.0,10.0,10.0,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0
Donny van de Beek,NED,DF,Manchester Utd,27.0,1997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Amari'i Bell,JAM,DF,Luton Town,29.0,1994.0,19.1,2.62,1.73,1.57,0.99,0.05,1.15,1.83,62.9,0.68,1.73,0.79,0.94,1.31,3.93,3.14,0.05
Jean-Ricner Bellegarde,FRA,MF,Wolves,25.0,1998.0,9.0,1.67,1.0,0.78,0.67,0.22,0.67,1.44,46.2,0.78,1.89,0.22,1.67,0.78,2.44,1.44,0.0
Anis Ben Slimane,TUN,MF,Sheffield Utd,23.0,2001.0,4.3,2.33,1.4,1.16,0.23,0.93,0.93,2.33,40.0,1.4,1.4,0.23,1.16,1.16,3.49,1.4,0.0
Saïd Benrahma,ALG,FW,West Ham,28.0,1995.0,6.9,1.16,0.58,0.72,0.43,0.0,0.58,2.17,26.7,1.59,1.16,0.0,1.16,0.72,1.88,1.01,0.0
Rodrigo Bentancur,URU,MF,Tottenham,26.0,1997.0,8.9,2.02,1.46,1.12,0.67,0.22,0.9,2.36,38.1,1.46,1.46,0.45,1.01,1.35,3.37,1.57,0.11
Daniel Bentley,ENG,GK,Wolves,30.0,1993.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Jóhann Berg Guðmundsson,ISL,MF,Burnley,33.0,1990.0,12.4,1.05,0.32,0.48,0.4,0.16,0.56,1.21,46.7,0.65,1.13,0.0,1.13,1.21,2.26,1.29,0.0
Sander Berge,NOR,MF,Burnley,26.0,1998.0,30.4,2.37,1.41,1.05,1.15,0.16,1.05,1.81,58.2,0.76,1.51,0.59,0.92,0.76,3.13,1.84,0.07
Luke Berry,ENG,MF,Luton Town,31.0,1992.0,3.5,2.0,0.57,0.57,1.14,0.29,0.57,0.57,100.0,0.0,1.43,0.0,1.43,0.0,2.0,0.86,0.0
Beto,GNB,FW,Everton,26.0,1998.0,10.4,1.35,0.58,0.1,0.58,0.67,0.38,1.06,36.4,0.67,1.06,0.0,1.06,0.1,1.44,1.35,0.0
Jordan Beyer,GER,DF,Burnley,23.0,2000.0,13.7,2.55,1.46,1.61,0.88,0.07,1.02,1.75,58.3,0.73,1.61,1.09,0.51,1.17,3.72,4.96,0.07
Philip Billing,DEN,MF,Bournemouth,27.0,1996.0,15.1,2.12,0.99,0.4,1.46,0.26,0.6,1.79,33.3,1.19,1.92,0.33,1.59,1.26,3.38,1.85,0.07
Yves Bissouma,MLI,MF,Tottenham,27.0,1996.0,21.2,3.49,2.26,1.42,1.6,0.47,1.84,2.59,70.9,0.75,1.23,0.24,0.99,1.56,5.05,1.98,0.14
