Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Danley Jean-Jacques,HAI,MF,Metz,23.0,2000.0,27.8,1.76,0.9,0.79,0.68,0.29,0.65,1.91,34.0,1.26,1.69,0.25,1.44,1.47,3.24,1.4,0.0
Jeffinho,BRA,FW,Lyon,24.0,1999.0,3.4,3.24,1.18,0.88,1.47,0.88,1.18,3.24,36.4,2.06,0.29,0.0,0.29,0.0,3.24,0.0,0.0
Antoine Joujou,FRA,FW,Le Havre,21.0,2003.0,7.8,2.44,1.41,0.77,0.9,0.77,1.41,2.69,52.4,1.28,1.03,0.26,0.77,0.64,3.08,0.64,0.0
Christopher Jullien,FRA,DF,Montpellier,31.0,1993.0,10.7,0.93,0.65,0.84,0.09,0.0,0.47,1.31,35.7,0.84,2.15,1.78,0.37,0.65,1.59,8.13,0.09
Eli Junior Kroupi,FRA,FW,Lorient,17.0,2006.0,11.6,0.6,0.34,0.17,0.17,0.26,0.09,0.69,12.5,0.6,0.43,0.0,0.43,0.86,1.47,0.43,0.0
Abdoul Kader Bamba,FRA,FW,Nantes,29.0,1994.0,6.3,1.59,1.11,0.32,0.79,0.48,0.79,2.06,38.5,1.27,0.63,0.0,0.63,0.63,2.22,0.63,0.16
Yaya Kader Fofana,MLI,MF,Reims,19.0,2004.0,0.3,10.0,10.0,3.33,3.33,3.33,0.0,0.0,,0.0,0.0,0.0,0.0,3.33,13.3,0.0,0.0
Tino Kadewere,ZIM,FW,Lyon,28.0,1996.0,3.3,0.3,0.3,0.0,0.3,0.0,0.3,1.52,20.0,1.21,0.91,0.3,0.61,1.52,1.82,2.12,0.0
Tino Kadewere,ZIM,FW,Nantes,28.0,1996.0,6.7,0.75,0.3,0.3,0.45,0.0,0.6,1.34,44.4,0.75,1.34,0.15,1.19,1.34,2.09,0.9,0.0
Arnaud Kalimuendo,FRA,FW,Rennes,22.0,2002.0,21.8,0.23,0.18,0.09,0.09,0.05,0.09,0.23,40.0,0.14,0.55,0.09,0.46,0.18,0.41,0.18,0.0
Gedeon Kalulu,COD,DF,Lorient,26.0,1997.0,10.3,2.14,1.55,1.26,0.78,0.1,1.07,2.04,52.4,0.97,1.75,0.19,1.55,0.49,2.62,2.91,0.0
Waren Kamanzi,NOR,DF,Toulouse,23.0,2000.0,12.3,2.68,1.87,1.22,1.14,0.33,0.98,1.79,54.5,0.81,0.89,0.24,0.65,0.65,3.33,2.68,0.0
Lee Kang-in,KOR,MF,Paris S-G,23.0,2001.0,13.8,1.74,0.8,0.36,0.65,0.72,1.01,2.46,41.2,1.45,0.51,0.0,0.51,0.36,2.1,0.22,0.0
Yann Karamoh,FRA,FW,Montpellier,25.0,1998.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,1.18,0.0,1.18,0.0,0.0,0.0,0.0
Ayman Kari,FRA,MF,Lorient,19.0,2004.0,9.9,1.82,1.41,0.91,0.91,0.0,1.21,1.92,63.2,0.71,1.92,0.2,1.72,0.61,2.42,0.91,0.1
Panos Katseris,GRE,DF,Lorient,22.0,2001.0,9.1,2.53,1.87,1.54,0.77,0.22,1.65,2.53,65.2,0.88,1.87,0.33,1.54,0.88,3.41,1.54,0.0
Kévin Keben Biakolo,CMR,DF,Toulouse,20.0,2004.0,4.2,0.71,0.48,0.71,0.0,0.0,0.48,0.95,50.0,0.48,1.19,0.0,1.19,0.95,1.67,3.1,0.0
Yassine Kechta,MAR,MF,Le Havre,22.0,2002.0,18.9,2.33,1.22,1.16,1.01,0.16,1.53,3.6,42.6,2.06,1.01,0.16,0.85,1.22,3.54,0.74,0.05
Thilo Kehrer,GER,DF,Monaco,27.0,1996.0,11.7,1.79,1.28,1.28,0.34,0.17,1.2,2.22,53.8,1.03,1.37,0.43,0.94,1.54,3.33,3.68,0.0
Habib Keita,MLI,MF,Clermont Foot,22.0,2002.0,13.6,2.43,1.4,0.96,1.1,0.37,1.18,1.99,59.3,0.81,1.99,0.74,1.25,2.06,4.49,2.13,0.0
Reda Khadra,GER,FW,Reims,22.0,2001.0,14.1,0.92,0.57,0.35,0.21,0.35,0.5,1.21,41.2,0.71,0.5,0.07,0.43,0.21,1.13,0.71,0.0
Wahbi Khazri,TUN,FW,Montpellier,33.0,1991.0,12.2,1.97,1.39,0.66,0.98,0.33,1.15,2.7,42.4,1.56,0.74,0.0,0.74,0.25,2.21,0.57,0.0
Philipp Köhn,SUI,GK,Monaco,26.0,1998.0,22.0,0.05,0.05,0.05,0.0,0.0,0.05,0.05,100.0,0.0,0.0,0.0,0.0,0.05,0.09,0.23,0.14
Randal Kolo Muani,FRA,FW,Paris S-G,25.0,1998.0,13.8,0.65,0.58,0.36,0.14,0.14,0.29,0.87,33.3,0.58,0.36,0.0,0.36,0.29,0.94,0.72,0.0
Geoffrey Kondogbia,CTA,MF,Marseille,31.0,1993.0,14.9,2.89,1.88,1.14,1.48,0.27,0.81,1.81,44.4,1.01,1.28,0.2,1.07,2.01,4.9,1.61,0.0
Amadou Koné,MLI,MF,Reims,18.0,2005.0,3.3,2.12,1.52,1.82,0.3,0.0,0.61,1.82,33.3,1.21,1.52,0.0,1.52,1.21,3.33,2.12,0.0
Ibrahima Koné,MLI,FW,Lorient,24.0,1999.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koffi Kouao,CIV,DF,Metz,25.0,1998.0,9.5,2.11,1.37,1.26,0.74,0.11,1.16,1.79,64.7,0.63,0.95,0.63,0.32,1.37,3.47,4.0,0.11
Therence Koudou,FRA,DF,Reims,19.0,2004.0,3.5,0.57,0.57,0.29,0.29,0.0,0.0,0.57,0.0,0.57,1.14,0.86,0.29,1.14,1.71,2.57,0.0
Boubakar Kouyaté,MLI,DF,Montpellier,27.0,1997.0,20.4,2.16,1.37,1.72,0.34,0.1,1.27,2.35,54.2,1.08,1.42,0.88,0.54,1.37,3.53,5.78,0.05
Sael Kumbedi,FRA,DF,Lyon,19.0,2005.0,10.3,2.91,1.94,1.36,1.17,0.39,0.87,2.14,40.9,1.26,1.17,0.29,0.87,1.36,4.27,1.75,0.19
Layvin Kurzawa,FRA,DF,Paris S-G,31.0,1992.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daler Kuzyaev,RUS,MF,Le Havre,31.0,1993.0,22.1,1.45,0.81,0.5,0.59,0.36,0.68,1.9,35.7,1.22,0.77,0.18,0.59,0.95,2.4,0.81,0.05
Grejohn Kyei,FRA,FW,Clermont Foot,28.0,1995.0,9.6,0.63,0.42,0.21,0.21,0.21,0.21,0.31,66.7,0.1,0.21,0.0,0.21,0.1,0.73,0.63,0.0
Gaëtan Laborde,FRA,FW,Nice,30.0,1994.0,19.8,0.76,0.56,0.4,0.15,0.2,0.51,1.31,38.5,0.81,1.01,0.1,0.91,0.3,1.06,0.4,0.05
Alexandre Lacazette,FRA,FW,Lyon,32.0,1991.0,23.3,0.82,0.52,0.34,0.39,0.09,0.21,0.69,31.3,0.47,0.94,0.13,0.82,0.34,1.16,0.39,0.0
Alban Lafont,FRA,GK,Nantes,25.0,1999.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.36,0.0
Kenny Lala,MAD,DF,Brest,32.0,1991.0,30.0,2.47,1.57,1.2,0.9,0.37,0.97,1.83,52.7,0.87,0.8,0.13,0.67,0.87,3.33,2.27,0.03
Mathis Lambourde,FRA,FW,Rennes,18.0,2006.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0
Mohamed Lamine Bayo,GUI,FW,Le Havre,25.0,1998.0,15.2,0.86,0.33,0.13,0.33,0.39,0.13,0.66,20.0,0.53,0.53,0.07,0.46,0.13,0.99,0.72,0.0
Didier Lamkel Zé,CMR,FW,Metz,27.0,1996.0,6.1,1.15,0.33,0.33,0.66,0.16,0.33,0.82,40.0,0.49,0.66,0.0,0.66,0.0,1.15,1.8,0.0
Julien Laporte,FRA,DF,Lorient,30.0,1993.0,17.2,1.16,0.7,0.76,0.35,0.06,0.76,1.8,41.9,1.05,1.8,1.28,0.52,0.47,1.63,5.41,0.06
Théo Le Bris,FRA,DF,Lorient,21.0,2002.0,16.8,2.08,1.31,1.49,0.42,0.18,1.13,2.38,47.5,1.25,1.43,0.18,1.25,0.71,2.8,2.5,0.0
Julien Le Cardinal,FRA,DF,Brest,26.0,1997.0,5.3,3.58,2.08,2.08,1.32,0.19,1.51,2.26,66.7,0.75,1.13,0.57,0.57,2.45,6.04,4.91,0.0
Julien Le Cardinal,FRA,DF,Lens,26.0,1997.0,0.6,10.0,3.33,6.67,3.33,0.0,6.67,15.0,44.4,8.33,3.33,1.67,1.67,0.0,10.0,0.0,0.0
Jérémy Le Douaron,FRA,FW,Brest,26.0,1998.0,16.9,1.24,0.59,0.41,0.53,0.3,0.65,1.54,42.3,0.89,0.83,0.06,0.77,0.12,1.36,0.53,0.0
Enzo Le Fée,FRA,MF,Rennes,24.0,2000.0,14.9,2.82,2.01,1.28,1.01,0.54,1.34,2.82,47.6,1.48,1.07,0.2,0.87,1.14,3.96,1.14,0.0
Vincent Le Goff,FRA,DF,Lorient,34.0,1989.0,6.0,0.83,0.0,0.67,0.0,0.17,0.67,1.33,50.0,0.67,1.83,0.5,1.33,0.5,1.33,1.67,0.0
Adrien Lebeau,FRA,MF,Brest,24.0,1999.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
Benjamin Lecomte,FRA,GK,Montpellier,33.0,1991.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.53,0.03
Pierre Lees-Melou,FRA,MF,Brest,30.0,1993.0,27.7,3.43,2.38,1.84,1.44,0.14,1.73,4.62,37.5,2.89,2.13,0.4,1.73,1.52,4.95,2.31,0.11
Johann Lepenant,FRA,MF,Lyon,21.0,2002.0,2.8,1.43,1.07,0.71,0.71,0.0,0.36,2.86,12.5,2.5,1.79,0.0,1.79,1.43,2.86,0.0,0.0
Léo Leroy,FRA,MF,Montpellier,24.0,2000.0,4.1,3.66,1.71,1.46,1.46,0.73,0.98,4.15,23.5,3.17,2.44,0.49,1.95,0.98,4.63,1.95,0.0
Gautier Lloris,FRA,DF,Le Havre,28.0,1995.0,27.9,1.65,0.93,1.33,0.29,0.04,0.93,1.43,65.0,0.5,1.76,1.04,0.72,1.0,2.65,4.55,0.04
Abou Lô,SEN,DF,Metz,24.0,2000.0,1.9,0.53,0.0,0.53,0.0,0.0,0.53,2.11,25.0,1.58,2.63,1.05,1.58,1.58,2.11,3.68,0.0
Bradley Locko,FRA,DF,Brest,21.0,2002.0,30.9,3.11,1.78,1.81,1.1,0.19,1.52,2.46,61.8,0.94,0.87,0.03,0.84,1.26,4.37,2.14,0.0
Renan Lodi,BRA,DF,Marseille,26.0,1998.0,13.7,1.75,1.17,0.58,0.95,0.22,0.95,1.53,61.9,0.58,0.51,0.15,0.36,1.17,2.92,2.55,0.0
Andy Logbo,FRA,FW,Le Havre,19.0,2004.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,1.07,2.5,1.07,1.43,0.0,0.0,0.71,0.0
Anthony Lopes,POR,GK,Lyon,33.0,1990.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0
Pau López,ESP,GK,Marseille,29.0,1994.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.3,0.03
Jordan Lotomba,SUI,DF,Nice,25.0,1998.0,18.8,1.81,1.38,0.96,0.43,0.43,1.28,1.81,70.6,0.53,1.54,0.48,1.06,0.74,2.55,1.33,0.0
Tom Louchet,FRA,MF,Nice,20.0,2003.0,3.5,3.14,0.86,0.86,1.71,0.57,1.43,2.57,55.6,1.14,2.0,0.86,1.14,0.29,3.43,2.0,0.0
Imran Louza,MAR,MF,Lorient,25.0,1999.0,7.4,1.35,0.54,0.27,0.81,0.27,0.27,0.81,33.3,0.54,0.95,0.14,0.81,0.81,2.16,0.41,0.0
Dejan Lovren,CRO,DF,Lyon,34.0,1989.0,8.0,1.13,0.88,0.75,0.38,0.0,0.38,0.88,42.9,0.5,0.75,0.63,0.13,1.5,2.63,4.63,0.0
Joshua M'Bahia,CIV,DF,Clermont Foot,19.0,2005.0,0.2,,0.0,,,,,,,,,,,0.0,,,
Deiver Machado,COL,DF,Lens,30.0,1993.0,9.6,1.25,0.83,0.42,0.73,0.1,0.83,1.25,66.7,0.42,1.04,0.21,0.83,0.52,1.77,0.63,0.0
Soungoutou Magassa,FRA,DF,Monaco,20.0,2003.0,13.8,3.7,1.81,1.59,2.03,0.07,1.67,2.97,56.1,1.3,1.52,0.29,1.23,1.52,5.22,2.61,0.14
Hugo Magnetti,FRA,MF,Brest,25.0,1998.0,23.0,1.91,1.09,0.74,0.96,0.22,0.96,2.3,41.5,1.35,0.78,0.04,0.74,0.57,2.48,0.74,0.0
Yohann Magnin,FRA,MF,Clermont Foot,26.0,1997.0,15.9,2.52,1.57,0.63,1.64,0.25,1.13,2.26,50.0,1.13,2.01,0.44,1.57,0.94,3.46,1.38,0.0
Frank Magri,CMR,FW,Toulouse,24.0,1999.0,15.5,1.35,0.84,0.32,0.71,0.32,0.9,1.29,70.0,0.39,1.03,0.26,0.77,0.26,1.61,1.1,0.0
Adel Mahamoud,COM,FW,Nantes,21.0,2003.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Habib Maïga,CIV,MF,Metz,28.0,1996.0,1.6,1.25,1.25,0.63,0.0,0.63,0.63,1.88,33.3,1.25,1.25,0.0,1.25,2.5,3.75,1.25,0.0
Ainsley Maitland-Niles,ENG,DF,Lyon,26.0,1997.0,15.2,2.17,1.12,0.72,0.92,0.53,1.18,2.3,51.4,1.12,0.86,0.26,0.59,1.12,3.29,1.71,0.07
Radosław Majecki,POL,GK,Monaco,24.0,1999.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.11,0.0,0.11,0.0,0.0,0.22,0.11
Lovro Majer,CRO,MF,Rennes,26.0,1998.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Jean-Victor Makengo,FRA,MF,Lorient,25.0,1998.0,5.3,0.94,0.75,0.57,0.38,0.0,0.38,1.13,33.3,0.75,2.26,0.19,2.08,1.51,2.45,0.94,0.0
Aaron Malouda,FRA,FW,Lille,18.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hianga Mananga Mbock,FRA,MF,Brest,24.0,1999.0,0.1,10.0,0.0,0.0,0.0,10.0,10.0,20.0,50.0,10.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0
Steve Mandanda,FRA,GK,Rennes,39.0,1985.0,31.0,0.06,0.0,0.06,0.0,0.0,0.06,0.13,50.0,0.06,0.0,0.0,0.0,0.0,0.06,0.19,0.03
Orel Mangala,BEL,MF,Lyon,26.0,1998.0,2.9,1.72,1.03,0.0,0.69,1.03,0.34,1.03,33.3,0.69,0.69,0.69,0.0,1.38,3.1,1.38,0.0
Faitout Maouassa,FRA,MF,Lens,25.0,1998.0,0.8,1.25,1.25,1.25,0.0,0.0,1.25,1.25,100.0,0.0,1.25,0.0,1.25,0.0,1.25,3.75,0.0
Guillermo Maripán,CHI,DF,Monaco,29.0,1994.0,19.6,1.12,0.41,0.77,0.31,0.05,0.51,1.38,37.0,0.87,1.33,0.66,0.66,1.53,2.65,5.41,0.2
Marquinhos,BRA,FW,Nantes,21.0,2003.0,1.7,1.76,1.18,1.18,0.0,0.59,0.59,2.35,25.0,1.76,4.12,1.18,2.94,3.53,5.29,0.59,0.0
Marquinhos,BRA,DF,Paris S-G,29.0,1994.0,16.1,1.12,0.62,0.56,0.43,0.12,0.62,0.99,62.5,0.37,1.68,1.12,0.56,0.99,2.11,3.35,0.0
Jonas Martin,FRA,MF,Brest,34.0,1990.0,11.7,3.16,1.97,1.37,1.71,0.09,1.37,2.56,53.3,1.2,1.2,0.17,1.03,0.6,3.76,2.05,0.17
Clinton Mata,ANG,DF,Lyon,31.0,1992.0,21.7,1.61,0.97,1.06,0.37,0.18,0.83,1.47,56.3,0.65,1.47,0.74,0.74,1.61,3.23,2.3,0.0
Eliot Matazo,BEL,MF,Monaco,22.0,2002.0,1.1,2.73,0.91,0.0,2.73,0.0,1.82,3.64,50.0,1.82,0.91,0.91,0.0,2.73,5.45,0.0,0.0
Nemanja Matić,SRB,MF,Rennes,35.0,1988.0,11.4,1.67,0.88,0.61,0.79,0.26,0.79,1.05,75.0,0.26,1.32,0.61,0.7,2.37,4.04,1.67,0.0
Nemanja Matić,SRB,MF,Lyon,35.0,1988.0,11.3,1.42,0.88,0.71,0.53,0.18,0.8,1.42,56.3,0.62,1.33,0.53,0.8,1.33,2.74,1.24,0.0
Chrislain Matsima,FRA,DF,Clermont Foot,21.0,2002.0,11.1,1.17,0.72,0.54,0.63,0.0,0.63,1.17,53.8,0.54,0.9,0.72,0.18,1.17,2.34,5.05,0.09
Chrislain Matsima,FRA,DF,Monaco,21.0,2002.0,3.3,2.73,2.12,1.52,0.91,0.3,0.61,2.12,28.6,1.52,1.21,0.3,0.91,1.21,3.94,1.21,0.0
Azor Matusiwa,NED,MF,Reims,26.0,1998.0,15.4,2.53,1.75,1.1,1.23,0.19,1.43,2.08,68.8,0.65,1.36,0.19,1.17,2.14,4.68,2.08,0.06
Azor Matusiwa,NED,MF,Rennes,26.0,1998.0,6.8,0.44,0.0,0.29,0.15,0.0,0.29,0.29,100.0,0.0,1.18,0.29,0.88,1.18,1.62,2.35,0.0
Aïman Maurer,MAR,MF,Clermont Foot,19.0,2004.0,0.6,1.67,1.67,1.67,0.0,0.0,1.67,5.0,33.3,3.33,0.0,0.0,0.0,0.0,1.67,0.0,0.0
Christian Mawissa,FRA,DF,Toulouse,19.0,2005.0,11.7,1.71,1.11,1.11,0.34,0.26,0.77,1.79,42.9,1.03,1.79,0.94,0.85,1.79,3.5,3.25,0.09
Noam Mayoka-Tika,BEL,MF,Marseille,20.0,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senny Mayulu,FRA,FW,Paris S-G,17.0,2006.0,2.4,3.75,2.5,2.08,1.25,0.42,1.67,2.08,80.0,0.42,0.0,0.0,0.0,1.25,5.0,0.0,0.0
Youssef Maziz,FRA,FW,Metz,25.0,1998.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,1.43,0.71,0.0,0.71,0.71,0.71,1.43,0.0
Ethan Mbappé,FRA,DF,Paris S-G,17.0,2006.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0
Kylian Mbappé,FRA,FW,Paris S-G,25.0,1998.0,23.0,0.17,0.04,0.04,0.04,0.09,0.17,0.39,44.4,0.22,0.17,0.0,0.17,0.09,0.26,0.09,0.0
Malick Mbaye,SEN,MF,Metz,20.0,2004.0,1.7,2.94,0.59,0.0,0.59,2.35,0.59,1.18,50.0,0.59,0.59,0.0,0.59,0.59,3.53,1.18,0.0
Chancel Mbemba,COD,DF,Marseille,29.0,1994.0,21.5,1.3,0.88,1.12,0.14,0.05,0.7,1.12,62.5,0.42,0.84,0.51,0.33,0.6,1.91,4.19,0.0
Nolan Mbemba,CGO,MF,Le Havre,29.0,1995.0,0.2,10.0,5.0,0.0,5.0,5.0,5.0,10.0,50.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Christ Mbondi,FRA,FW,Reims,19.0,2004.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Facundo Medina,ARG,DF,Lens,24.0,1999.0,27.2,1.99,1.18,0.77,0.96,0.26,1.4,2.17,64.4,0.77,1.32,0.48,0.85,0.74,2.72,1.8,0.07
Bamo Meïté,CIV,DF,Marseille,22.0,2001.0,6.4,2.34,1.56,2.03,0.31,0.0,1.25,1.72,72.7,0.47,1.72,0.78,0.94,1.72,4.06,4.84,0.0
Bamo Meïté,CIV,DF,Lorient,22.0,2001.0,1.6,1.25,0.63,1.25,0.0,0.0,0.0,0.63,0.0,0.63,1.88,1.25,0.63,1.88,3.13,5.63,0.0
Birger Meling,NOR,DF,Rennes,29.0,1994.0,0.2,5.0,5.0,5.0,0.0,0.0,5.0,5.0,100.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0
Nuno Mendes,POR,DF,Paris S-G,21.0,2002.0,2.1,1.9,1.9,1.43,0.48,0.0,1.9,3.33,57.1,1.43,1.43,0.0,1.43,0.95,2.86,0.48,0.0
Antoine Mendy,FRA,DF,Nice,19.0,2004.0,2.6,2.69,1.92,1.54,1.15,0.0,1.15,1.92,60.0,0.77,1.54,0.38,1.15,1.54,4.23,3.85,0.0
Benjamin Mendy,FRA,DF,Lorient,29.0,1994.0,5.7,0.35,0.18,0.35,0.0,0.0,0.18,0.88,20.0,0.7,1.4,0.35,1.05,1.05,1.4,1.75,0.0
Formose Mendy,SEN,DF,Lorient,23.0,2001.0,12.6,2.14,1.19,1.67,0.4,0.08,1.27,2.22,57.1,0.95,1.75,0.87,0.87,1.51,3.65,4.29,0.08
Nampalys Mendy,SEN,MF,Lens,31.0,1992.0,8.7,2.3,1.61,0.8,0.92,0.57,1.26,1.72,73.3,0.46,1.26,0.46,0.8,1.15,3.45,1.15,0.11
Quentin Merlin,FRA,DF,Marseille,21.0,2002.0,6.7,1.79,1.64,1.04,0.6,0.15,1.04,2.54,41.2,1.49,0.3,0.0,0.3,0.6,2.39,1.79,0.0
Quentin Merlin,FRA,DF,Nantes,21.0,2002.0,14.3,2.03,1.4,1.05,0.84,0.14,1.12,1.75,64.0,0.63,1.54,0.07,1.47,1.26,3.29,1.54,0.0
Bastien Meupiyou,FRA,DF,Nantes,18.0,2006.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Georges Mikautadze,GEO,FW,Metz,23.0,2000.0,16.4,0.12,0.12,0.0,0.12,0.0,0.0,0.43,0.0,0.43,0.55,0.0,0.55,0.49,0.61,0.18,0.0
Takumi Minamino,JPN,MF,Monaco,29.0,1995.0,22.4,1.47,0.71,0.4,0.58,0.49,0.71,2.28,31.4,1.56,1.25,0.04,1.21,0.49,1.96,0.36,0.0
Lucas Mincarelli,FRA,DF,Montpellier,20.0,2004.0,10.0,2.8,1.5,1.9,0.6,0.3,1.6,3.2,50.0,1.6,1.5,0.4,1.1,0.7,3.5,2.6,0.0
Ignacio Miramon,ARG,MF,Lille,20.0,2003.0,0.4,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,2.5,2.5,0.0,2.5,0.0,2.5,0.0,0.0
Terem Moffi,NGA,FW,Nice,24.0,1999.0,20.0,0.3,0.15,0.0,0.25,0.05,0.15,0.55,27.3,0.4,0.7,0.05,0.65,0.15,0.45,0.75,0.0
Mostafa Mohamed,EGY,FW,Nantes,26.0,1997.0,21.0,1.0,0.67,0.33,0.52,0.14,0.29,1.14,25.0,0.86,0.9,0.19,0.71,0.52,1.52,1.29,0.0
Dion Moise Sahi,CIV,MF,Strasbourg,22.0,2001.0,6.0,0.83,0.83,0.17,0.33,0.33,0.0,0.5,0.0,0.5,1.83,0.17,1.67,0.17,1.0,1.0,0.0
Florent Mollet,FRA,MF,Nantes,32.0,1991.0,22.1,0.77,0.5,0.32,0.27,0.18,0.45,1.4,32.3,0.95,0.81,0.23,0.59,0.59,1.36,0.77,0.0
Enzo Mongo,FRA,DF,Nantes,19.0,2005.0,0.1,10.0,10.0,10.0,0.0,0.0,10.0,20.0,50.0,10.0,10.0,10.0,0.0,10.0,20.0,0.0,0.0
Diego Moreira,POR,FW,Lyon,19.0,2004.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.67,0.67,1.67,0.0
Lebo Mothiba,RSA,FW,Strasbourg,28.0,1996.0,6.9,0.72,0.29,0.14,0.58,0.0,0.43,0.58,75.0,0.14,0.87,0.14,0.72,0.0,0.72,1.59,0.0
Steve Mounié,BEN,FW,Brest,29.0,1994.0,16.8,0.42,0.36,0.0,0.18,0.24,0.12,0.54,22.2,0.42,0.77,0.18,0.6,0.12,0.54,0.89,0.0
Samuel Moutoussamy,COD,MF,Nantes,27.0,1996.0,10.4,2.6,1.35,1.06,0.96,0.58,1.35,2.79,48.3,1.44,1.44,0.29,1.15,0.77,3.37,1.06,0.0
Loris Mouyokolo,FRA,DF,Lorient,22.0,2001.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0
François Mughe,CMR,MF,Marseille,19.0,2004.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.0,0.0,1.0,0.5,0.5,0.5,0.0
Joel Mugisha,NOR,DF,Lorient,21.0,2002.0,2.0,2.5,1.5,1.5,0.5,0.5,1.5,3.5,42.9,2.0,0.5,0.0,0.5,1.0,3.5,0.5,0.0
Nordi Mukiele,FRA,DF,Paris S-G,26.0,1997.0,7.0,1.43,1.0,0.71,0.57,0.14,1.0,1.86,53.8,0.86,2.29,0.57,1.71,1.57,3.0,3.86,0.0
Marshall Munetsi,ZIM,MF,Reims,27.0,1996.0,21.4,2.29,1.5,0.65,1.36,0.28,1.21,2.43,50.0,1.21,0.84,0.19,0.65,0.65,2.94,1.36,0.0
Yvon Mvogo,SUI,GK,Lorient,29.0,1994.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.45,0.1
Joel Mvuka,NOR,MF,Lorient,21.0,2002.0,0.2,,0.0,,,,,,,,,,,0.0,,,
Junior Mwanga,FRA,MF,Strasbourg,20.0,2003.0,16.0,2.5,1.25,1.44,0.75,0.31,0.75,1.5,50.0,0.75,1.13,0.31,0.81,1.13,3.63,1.19,0.0
Kévin N'Doram,FRA,MF,Metz,28.0,1996.0,14.8,1.82,1.28,1.22,0.47,0.14,1.15,2.3,50.0,1.15,0.88,0.34,0.54,1.55,3.38,2.23,0.0
Bilal Nadir,FRA,MF,Marseille,20.0,2003.0,1.3,3.08,2.31,1.54,1.54,0.0,0.77,1.54,50.0,0.77,0.0,0.0,0.0,1.54,4.62,1.54,0.0
Mahamadou Nagida,CMR,DF,Rennes,18.0,2005.0,1.2,0.83,0.83,0.0,0.0,0.83,0.0,1.67,0.0,1.67,1.67,0.83,0.83,3.33,4.17,0.0,0.0
Keito Nakamura,JPN,FW,Reims,23.0,2000.0,13.1,2.06,0.76,0.69,0.76,0.61,1.22,2.6,47.1,1.37,1.15,0.15,0.99,0.46,2.52,0.53,0.0
