Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Eric Martel,GER,MF,Köln,22,2002,27,26,2232,24.8,1,1,2,1,0,0,5,0,1.9,1.9,1.0,2.9,18,64,29,0.04,0.04,0.08,0.04,0.08,0.08,0.04,0.12,0.08,0.12
Erhan Mašović,SRB,DF,Bochum,25,1998,27,24,2162,24.0,0,0,0,0,0,0,7,0,1.1,1.1,0.3,1.4,15,46,10,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06
Roberto Massimo,GER,FW,Stuttgart,23,2000,5,0,84,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Jean Mattéo Bahoya,FRA,MF,Eint Frankfurt,18,2005,7,1,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,3,19,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Philipp Max,GER,DF,Eint Frankfurt,30,1993,23,17,1350,15.0,1,2,3,1,0,0,2,0,0.2,0.2,2.8,3.0,25,63,56,0.07,0.13,0.20,0.07,0.20,0.02,0.18,0.20,0.02,0.20
Eric Maxim Choupo-Moting,CMR,MF,Bayern Munich,35,1989,26,6,627,7.0,2,2,4,2,0,0,1,0,4.2,4.2,1.8,6.0,21,19,68,0.29,0.29,0.57,0.29,0.57,0.61,0.26,0.86,0.61,0.86
Noussair Mazraoui,MAR,DF,Bayern Munich,26,1997,18,15,1170,13.0,0,3,3,0,0,0,3,0,0.9,0.9,1.8,2.6,34,103,79,0.00,0.23,0.23,0.00,0.23,0.07,0.14,0.20,0.07,0.20
Kevin Mbabu,SUI,DF,Augsburg,29,1995,23,20,1867,20.7,0,2,2,0,0,0,4,0,0.1,0.1,1.5,1.6,66,79,95,0.00,0.10,0.10,0.00,0.10,0.00,0.07,0.08,0.00,0.08
Noah Mbamba,BEL,MF,Leverkusen,19,2005,3,0,16,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,1,2,1,0.00,5.63,5.63,0.00,5.63,0.14,3.16,3.30,0.14,3.30
Nathanael Mbuku,FRA,FW,Augsburg,22,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,4,0.00,0.00,0.00,0.00,0.00,0.56,0.69,1.25,0.56,1.25
Marvin Mehlem,GER,MF,Darmstadt 98,26,1997,17,16,1237,13.7,3,2,5,3,0,0,3,0,3.8,3.8,1.0,4.8,23,43,65,0.22,0.15,0.36,0.22,0.36,0.28,0.08,0.35,0.28,0.35
