Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Nahuel Molina,ARG,DF,Atlético Madrid,26,1998,30,19,1852,20.6,2,3,5,2,0,0,4,1,1.3,1.3,2.9,4.2,47,68,170,0.10,0.15,0.24,0.10,0.24,0.06,0.14,0.20,0.06,0.20
Jon Moncayola,ESP,MF,Osasuna,26,1998,30,20,1666,18.5,0,3,3,0,0,0,2,1,0.4,0.4,2.2,2.6,11,93,40,0.00,0.16,0.16,0.00,0.16,0.02,0.12,0.14,0.02,0.14
César Montes,MEX,DF,Almería,27,1997,19,19,1608,17.9,0,0,0,0,0,0,5,0,0.6,0.6,0.2,0.8,7,48,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04
Álvaro Morata,ESP,FW,Atlético Madrid,31,1992,30,21,1838,20.4,14,2,16,14,0,1,4,1,12.9,12.0,1.2,13.2,19,20,85,0.69,0.10,0.78,0.69,0.78,0.63,0.06,0.69,0.59,0.65
Alberto Moreno,ESP,DF,Villarreal,31,1992,26,16,1405,15.6,2,2,4,2,0,0,4,2,0.7,0.7,1.5,2.2,25,50,73,0.13,0.13,0.26,0.13,0.26,0.04,0.10,0.14,0.04,0.14
Gerard Moreno,ESP,FW,Villarreal,32,1992,29,27,2143,23.8,10,4,14,8,2,3,0,0,9.7,7.3,5.0,12.3,45,143,187,0.42,0.17,0.59,0.34,0.50,0.41,0.21,0.61,0.31,0.52
Jorge Moreno,ESP,DF,Osasuna,23,2001,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ilaix Moriba,GUI,MF,Getafe,21,2003,12,7,539,6.0,0,2,2,0,0,0,3,0,0.3,0.3,0.6,0.9,7,18,16,0.00,0.33,0.33,0.00,0.33,0.06,0.10,0.15,0.06,0.15
Manu Morlanes,ESP,MF,Mallorca,25,1999,32,14,1422,15.8,0,1,1,0,0,0,2,0,0.8,0.8,1.8,2.6,24,94,28,0.00,0.06,0.06,0.00,0.06,0.05,0.11,0.16,0.05,0.16
Cristhian Mosquera,COL,DF,Valencia,19,2004,33,30,2805,31.2,0,0,0,0,0,0,2,0,0.7,0.7,0.0,0.7,14,68,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
