Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Rayan Aït-Nouri,ALG,DF,Wolves,22,2001,30,26,2102,23.4,2,1,3,2,0,0,7,0,3.1,3.1,2.0,5.1,61,92,87,0.09,0.04,0.13,0.09,0.13,0.13,0.08,0.22,0.13,0.22
Kristoffer Ajer,NOR,DF,Brentford,26,1998,26,19,1726,19.2,2,1,3,2,0,0,5,0,1.3,1.3,2.3,3.6,20,57,31,0.10,0.05,0.16,0.10,0.16,0.07,0.12,0.19,0.07,0.19
Manuel Akanji,SUI,DF,Manchester City,28,1995,26,24,2171,24.1,2,0,2,2,0,0,4,1,0.9,0.9,0.4,1.3,41,128,34,0.08,0.00,0.08,0.08,0.08,0.04,0.02,0.05,0.04,0.05
Nathan Aké,NED,DF,Manchester City,29,1995,26,22,1933,21.5,2,2,4,2,0,0,0,0,2.5,2.5,1.2,3.7,23,112,17,0.09,0.09,0.19,0.09,0.19,0.12,0.06,0.17,0.12,0.17
Thiago Alcántara,ESP,MF,Liverpool,33,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Trent Alexander-Arnold,ENG,DF,Liverpool,25,1998,25,22,1905,21.2,3,4,7,3,0,0,5,0,2.1,1.9,5.9,7.7,39,184,86,0.14,0.19,0.33,0.14,0.33,0.10,0.28,0.38,0.09,0.37
Alisson,BRA,GK,Liverpool,31,1992,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miguel Almirón,PAR,FW,Newcastle Utd,30,1994,29,23,1848,20.5,3,1,4,3,0,0,1,0,4.5,4.5,2.6,7.1,77,75,157,0.15,0.05,0.19,0.15,0.19,0.22,0.13,0.34,0.22,0.34
Edson Álvarez,MEX,MF,West Ham,26,1997,29,27,2312,25.7,1,1,2,1,0,0,10,0,1.3,1.3,0.6,1.9,20,89,26,0.04,0.04,0.08,0.04,0.08,0.05,0.02,0.07,0.05,0.07
Julián Álvarez,ARG,MF,Manchester City,24,2000,33,31,2628,29.2,9,8,17,8,1,1,2,0,11.9,11.1,6.4,17.5,63,103,176,0.31,0.27,0.58,0.27,0.55,0.41,0.22,0.63,0.38,0.60
Zeki Amdouni,SUI,FW,Burnley,23,2000,31,26,1870,20.8,5,1,6,4,1,1,2,0,5.3,4.5,1.4,5.9,59,47,88,0.24,0.05,0.29,0.19,0.24,0.26,0.07,0.32,0.22,0.28
Sofyan Amrabat,MAR,MF,Manchester Utd,27,1996,17,7,663,7.4,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.2,5,52,9,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Joachim Andersen,DEN,DF,Crystal Palace,27,1996,35,35,3149,35.0,2,3,5,2,0,0,6,0,1.7,1.7,2.7,4.3,21,139,10,0.06,0.09,0.14,0.06,0.14,0.05,0.08,0.12,0.05,0.12
Elliot Anderson,SCO,MF,Newcastle Utd,21,2002,17,8,831,9.2,0,1,1,0,0,0,1,0,1.4,1.4,1.0,2.4,30,48,56,0.00,0.11,0.11,0.00,0.11,0.15,0.11,0.26,0.15,0.26
Jaidon Anthony,ENG,FW,Bournemouth,24,1999,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,8,9,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
