Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Oscar Cortés,COL,FW,Lens,20,2003,4,0,44,0.5,1,1,2,1,0,0,0,0,0.5,0.5,0.7,1.1,1,2,8,2.05,2.05,4.09,2.05,4.09,0.93,1.41,2.35,0.93,2.35
David Pereira da Costa,POR,MF,Lens,23,2001,22,14,1236,13.7,3,2,5,3,0,0,2,0,2.0,2.0,3.4,5.4,45,58,90,0.22,0.15,0.36,0.22,0.36,0.15,0.25,0.40,0.15,0.40
Logan Costa,CPV,DF,Toulouse,23,2001,28,26,2380,26.4,1,1,2,1,0,0,6,0,1.1,1.1,0.6,1.8,17,121,11,0.04,0.04,0.08,0.04,0.08,0.04,0.02,0.07,0.04,0.07
Grégoire Coudert,FRA,GK,Brest,25,1999,3,2,181,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mamadou Coulibaly,FRA,MF,Monaco,20,2004,3,0,72,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,4,3,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.20,0.13,0.20
Tanguy Coulibaly,FRA,FW,Montpellier,23,2001,14,5,475,5.3,1,0,1,1,0,0,2,0,1.8,1.8,0.7,2.5,23,12,37,0.19,0.00,0.19,0.19,0.19,0.34,0.14,0.48,0.34,0.48
Nicolas Cozza,FRA,DF,Nantes,25,1999,10,8,728,8.1,0,0,0,0,0,0,2,0,0.6,0.6,0.4,1.0,7,12,27,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.12,0.07,0.12
Trévis Dago,CIV,FW,Lille,19,2005,4,0,23,0.3,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.5,1,0,1,0.00,3.91,3.91,0.00,3.91,0.16,1.63,1.78,0.16,1.78
Thijs Dallinga,NED,FW,Toulouse,23,2000,30,25,2252,25.0,12,2,14,11,1,3,6,0,12.9,10.6,1.0,11.6,30,33,150,0.48,0.08,0.56,0.44,0.52,0.52,0.04,0.56,0.42,0.46
Kevin Danso,AUT,DF,Lens,25,1998,29,29,2610,29.0,1,0,1,1,0,0,6,0,1.8,1.8,0.3,2.2,27,131,3,0.03,0.00,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07
Dante,BRA,DF,Nice,40,1983,30,30,2663,29.6,1,1,2,1,0,0,5,1,0.9,0.9,0.9,1.9,11,175,6,0.03,0.03,0.07,0.03,0.07,0.03,0.03,0.06,0.03,0.06
Raimane Daou,COM,DF,Marseille,19,2004,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mohammed Daramy,DEN,FW,Reims,22,2002,25,19,1648,18.3,4,5,9,3,1,1,0,0,4.6,3.8,2.4,6.2,72,69,162,0.22,0.27,0.49,0.16,0.44,0.25,0.13,0.38,0.21,0.34
Achraf Dari,MAR,DF,Brest,24,1999,4,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Jonathan David,CAN,FW,Lille,24,2000,31,27,2359,26.2,17,3,20,15,2,3,4,0,15.9,13.5,3.2,16.7,46,71,185,0.65,0.11,0.76,0.57,0.69,0.61,0.12,0.73,0.51,0.64
Thibault De Smet,BEL,DF,Reims,25,1998,27,22,1831,20.3,0,0,0,0,0,0,7,1,0.3,0.3,0.8,1.1,23,104,66,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Romain Del Castillo,FRA,FW,Brest,28,1996,31,29,2448,27.2,8,8,16,5,3,3,4,0,5.2,2.9,9.5,12.4,98,150,278,0.29,0.29,0.59,0.18,0.48,0.19,0.35,0.54,0.11,0.46
Thomas Delaine,FRA,DF,Strasbourg,32,1992,25,22,1889,21.0,1,1,2,1,0,0,5,0,1.7,1.7,3.6,5.3,56,49,132,0.05,0.05,0.10,0.05,0.10,0.08,0.17,0.25,0.08,0.25
Sacha Delaye,FRA,FW,Montpellier,22,2002,7,0,97,1.1,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,2,3,7,0.00,0.00,0.00,0.00,0.00,0.27,0.09,0.36,0.27,0.36
Karamoko Dembele,SCO,MF,Brest,21,2003,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ousmane Dembélé,FRA,MF,Paris S-G,26,1997,25,17,1477,16.4,3,8,11,3,0,0,0,0,4.4,4.4,6.4,10.8,155,132,244,0.18,0.49,0.67,0.18,0.67,0.27,0.39,0.66,0.27,0.66
Jessy Deminguet,FRA,MF,Strasbourg,26,1998,18,9,690,7.7,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,7,24,13,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09
Rémy Descamps,FRA,GK,Nantes,27,1996,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mikkel Desler,DEN,DF,Toulouse,29,1995,21,16,1353,15.0,0,1,1,0,0,0,2,0,1.1,1.0,0.7,1.6,27,69,80,0.00,0.07,0.07,0.00,0.07,0.07,0.04,0.11,0.06,0.11
Arthur Desmas,FRA,GK,Le Havre,30,1994,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Lamine Diack,SEN,MF,Nantes,23,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mamadou Diakhon,FRA,FW,Reims,18,2005,10,1,206,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,10,1,16,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.11,0.01,0.11
Bafodé Diakité,FRA,DF,Lille,23,2001,18,16,1426,15.8,3,1,4,3,0,0,4,0,1.3,1.3,0.8,2.2,15,86,11,0.19,0.06,0.25,0.19,0.25,0.08,0.05,0.14,0.08,0.14
Ibrahim Diakité,GUI,DF,Reims,20,2003,5,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,7,7,9,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16
Oumar Diakité,CIV,FW,Reims,20,2003,25,15,1364,15.2,5,1,6,5,0,1,3,0,6.9,6.1,1.3,7.4,23,25,94,0.33,0.07,0.40,0.33,0.40,0.45,0.08,0.54,0.40,0.48
Habib Diarra,SEN,MF,Strasbourg,20,2004,29,26,2147,23.9,2,1,3,1,1,1,3,0,3.3,2.5,1.3,3.7,53,98,72,0.08,0.04,0.13,0.04,0.08,0.14,0.05,0.19,0.10,0.16
Moussa Diarra,MLI,DF,Toulouse,23,2000,20,13,1238,13.8,1,1,2,1,0,0,4,0,0.5,0.5,0.7,1.1,14,59,8,0.07,0.07,0.15,0.07,0.15,0.03,0.05,0.08,0.03,0.08
Krépin Diatta,SEN,DF,Monaco,25,1999,23,9,969,10.8,0,1,1,0,0,0,2,0,0.5,0.5,1.3,1.8,37,64,77,0.00,0.09,0.09,0.00,0.09,0.05,0.12,0.17,0.05,0.17
Mory Diaw,SEN,GK,Clermont Foot,30,1993,27,27,2430,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mahamadou Diawara,FRA,MF,Lyon,19,2005,10,4,347,3.9,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.9,13,17,14,0.00,0.00,0.00,0.00,0.00,0.19,0.03,0.23,0.19,0.23
