Player,Nation,Pos_x,Squad_x,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,CrdR/90,CrdY/90,Pos_y,Squad_y,Tkl,TklW,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Performance_rating
Martin Erlic,CRO,DF,Sassuolo,26.0,1998.0,28,27,2333,25.9,0.04,0.0,0.0,0.19,DF,Sassuolo,1.31,0.73,0.77,1.16,66.7,0.39,1.12,0.62,0.5,0.93,2.24,4.48,0.04,13.91
João Ferreira,POR,DF,Udinese,23.0,2001.0,31,17,1694,18.8,0.0,0.05,0.0,0.48,DF,Udinese,2.82,2.02,1.65,2.77,59.6,1.12,1.22,0.27,0.96,1.54,4.36,4.52,0.0,19.39
Antonino Gallo,ITA,DF,Lecce,24.0,2000.0,31,26,2156,24.0,0.0,0.13,0.0,0.08,DF,Lecce,1.54,1.0,1.17,1.83,63.6,0.67,1.29,0.33,0.96,1.0,2.54,2.58,0.0,11.47
Federico Gatti,ITA,DF,Juventus,25.0,1998.0,29,27,2401,26.7,0.15,0.0,0.0,0.26,DF,Juventus,1.09,0.64,0.6,0.79,76.2,0.19,0.75,0.41,0.34,0.71,1.8,3.15,0.04,10.91
Valentin Gendrey,FRA,DF,Lecce,23.0,2000.0,33,31,2746,30.5,0.07,0.1,0.0,0.16,DF,Lecce,1.74,1.05,0.92,1.34,68.3,0.43,1.08,0.2,0.89,1.11,2.85,3.15,0.0,13.34
Mario Gila,ESP,DF,Lazio,23.0,2000.0,19,19,1642,18.2,0.0,0.0,0.05,0.22,DF,Lazio,1.54,0.66,0.88,1.54,57.1,0.66,1.21,0.66,0.55,0.93,2.47,3.46,0.0,11.32
Emmanuel Gyasi,GHA,DF,Empoli,30.0,1994.0,29,17,1564,17.4,0.06,0.06,0.0,0.29,DF,Empoli,1.67,0.86,0.69,1.44,48.0,0.75,1.55,0.63,0.92,0.29,1.95,1.32,0.06,6.22
Norbert Gyömbér,SVK,DF,Salernitana,31.0,1992.0,21,19,1686,18.7,0.0,0.0,0.0,0.48,DF,Salernitana,1.93,0.96,1.07,1.34,80.0,0.27,1.71,1.18,0.53,1.23,3.16,4.06,0.11,13.99
Theo Hernández,FRA,DF,Milan,26.0,1997.0,29,29,2588,28.8,0.17,0.1,0.03,0.38,DF,Milan,0.97,0.52,0.38,0.73,52.4,0.35,1.08,0.45,0.63,0.73,1.7,1.39,0.03,7.32
Ardian Ismajli,ALB,DF,Empoli,27.0,1996.0,22,19,1685,18.7,0.0,0.0,0.0,0.05,DF,Empoli,1.28,0.8,0.91,1.07,85.0,0.16,1.28,0.8,0.48,1.02,2.3,5.78,0.05,16.87
Juan Jesus,BRA,DF,Napoli,32.0,1991.0,22,21,1936,21.5,0.05,0.0,0.0,0.33,DF,Napoli,1.77,0.79,1.02,1.44,71.0,0.42,0.98,0.56,0.42,0.98,2.74,3.02,0.05,11.22
Hassane Kamara,CIV,DF,Udinese,30.0,1994.0,31,23,1877,20.9,0.05,0.05,0.0,0.19,DF,Udinese,1.67,1.15,0.91,1.48,61.3,0.57,1.2,0.1,1.1,1.2,2.87,2.87,0.0,13.05
Michael Kayode,ITA,DF,Fiorentina,19.0,2004.0,24,20,1892,21.0,0.05,0.05,0.0,0.1,DF,Fiorentina,2.33,1.33,1.52,2.14,71.1,0.62,1.14,0.57,0.57,0.76,3.1,1.86,0.1,10.14
Sead Kolašinac,BIH,DF,Atalanta,30.0,1993.0,30,25,2178,24.2,0.04,0.0,0.0,0.17,DF,Atalanta,1.82,1.32,1.24,2.02,61.2,0.79,0.91,0.37,0.54,0.87,2.69,1.94,0.0,10.52
Filip Kostić,SRB,DF,Juventus,31.0,1992.0,27,25,1740,19.3,0.0,0.21,0.0,0.1,DF,Juventus,1.92,1.19,0.88,1.66,53.1,0.78,1.4,0.41,0.98,0.47,2.38,2.02,0.0,9.55
Rasmus Kristensen,DEN,DF,Roma,26.0,1997.0,26,17,1568,17.4,0.06,0.06,0.0,0.29,DF,Roma,1.84,0.86,1.38,2.41,57.1,1.03,1.44,0.34,1.09,0.34,2.18,2.47,0.0,8.79
Thomas Kristensen,DEN,DF,Udinese,22.0,2002.0,22,19,1736,19.3,0.0,0.0,0.05,0.21,DF,Udinese,1.61,1.14,0.88,1.4,63.0,0.52,1.09,0.78,0.31,1.3,2.9,5.18,0.0,17.32
Giorgos Kyriakopoulos,GRE,DF,Monza,28.0,1996.0,24,17,1535,17.1,0.0,0.18,0.0,0.18,DF,Monza,1.05,0.53,0.58,1.17,50.0,0.58,0.82,0.06,0.76,0.7,1.75,1.35,0.0,6.75
Valentino Lazaro,AUT,DF,Torino,28.0,1996.0,31,21,1917,21.3,0.0,0.09,0.0,0.14,DF,Torino,0.7,0.47,0.52,0.75,68.8,0.23,0.61,0.05,0.56,0.38,1.08,1.22,0.0,5.12
