Player,Nation,Pos_x,Squad_x,Age,Born,MP_x,Starts_x,Min_x,90s,Gls/90,Ast/90,CrdR/90,CrdY/90,Pos_y,Squad_y,MP_y,Starts_y,Min_y,GA,GA90,SoTA,Saves,Save%,CS,PKsv,PKm,PSave%,Performance_rating
Matz Sels,BEL,GK,Nott'ham Forest,32.0,1992.0,13,13,1170,13.0,0.0,0.0,0.0,0.08,GK,Nott'ham Forest,13,13,1170,1.69,1.69,3.69,2.15,54.2,0.08,0.0,0.0,,1.08
Jason Steele,ENG,GK,Brighton,33.0,1990.0,16,16,1440,16.0,0.0,0.0,0.0,0.0,GK,Brighton,16,16,1440,2.0,2.0,4.38,2.5,58.6,0.13,0.0,0.0,0.0,1.52
Thomas Strakosha,ALB,GK,Brentford,29.0,1995.0,2,1,135,1.5,0.0,0.0,0.0,0.0,GK,Brentford,2,1,135,1.33,1.33,5.33,4.0,75.0,0.0,0.0,0.0,,0.67
James Trafford,ENG,GK,Burnley,21.0,2002.0,28,28,2520,28.0,0.0,0.0,0.0,0.07,GK,Burnley,28,28,2520,2.21,2.21,5.93,3.79,65.7,0.07,0.0,0.0,0.0,1.31
Mark Travers,IRL,GK,Bournemouth,24.0,1999.0,2,2,180,2.0,0.0,0.0,0.0,0.0,GK,Bournemouth,2,2,180,0.0,0.0,2.5,2.5,100.0,1.0,0.0,0.0,,4.0
Matt Turner,USA,GK,Nott'ham Forest,29.0,1994.0,17,17,1530,17.0,0.0,0.0,0.0,0.12,GK,Nott'ham Forest,17,17,1530,1.65,1.65,4.71,3.06,67.5,0.12,0.0,0.0,0.0,1.19
Bart Verbruggen,NED,GK,Brighton,21.0,2002.0,18,18,1620,18.0,0.0,0.0,0.0,0.11,GK,Brighton,18,18,1620,1.39,1.39,4.28,2.89,71.4,0.17,0.0,0.0,0.0,1.27
Odisseas Vlachodimos,GRE,GK,Nott'ham Forest,30.0,1994.0,5,5,450,5.0,0.0,0.0,0.0,0.0,GK,Nott'ham Forest,5,5,450,2.4,2.4,4.4,2.0,50.0,0.2,0.0,0.0,0.0,2.0
Alaa Bellaarouch,MAR,GK,Strasbourg,22.0,2002.0,12,12,1080,12.0,0.0,0.0,0.0,0.0,GK,Strasbourg,12,12,1080,1.67,1.67,4.08,2.42,63.3,0.17,0.08,0.0,33.3,1.75
Marco Bizot,NED,GK,Brest,33.0,1991.0,29,29,2606,29.0,0.0,0.0,0.03,0.1,GK,Brest,29,29,2606,1.14,1.14,4.28,3.1,75.0,0.38,0.03,0.0,33.3,1.99
Rubén Blanco,ESP,GK,Marseille,28.0,1995.0,2,1,121,1.3,0.0,0.0,0.0,0.0,GK,Marseille,2,1,121,1.54,1.49,4.62,3.08,66.7,0.0,0.0,0.0,,0.77
Marcin Bułka,POL,GK,Nice,24.0,1999.0,31,31,2790,31.0,0.0,0.0,0.0,0.03,GK,Nice,31,31,2790,0.81,0.81,3.06,2.19,78.9,0.52,0.1,0.0,37.5,2.75
