Player,Nation,Pos_x,Squad_x,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90,Pos_y,Squad_y,Tkl,TklW,Tkl.1,Att,Tkl%,Lost,Int,Performance_rating
Amadou Onana,BEL,MF,Everton,22.0,2001.0,27,21,1875,20.8,0.1,0.0,0.1,0.1,0.1,0.09,0.13,0.21,0.09,0.21,0.0,0.24,1.68,0.96,4.86,MF,Everton,2.88,1.59,0.77,1.78,43.2,1.01,0.72,12.86
João Palhinha,POR,MF,Fulham,28.0,1995.0,30,28,2430,27.0,0.15,0.04,0.19,0.15,0.19,0.12,0.03,0.15,0.12,0.15,0.0,0.48,0.44,0.3,3.22,MF,Fulham,5.11,2.63,3.52,5.26,66.9,1.74,1.59,7.73
Andreas Pereira,BRA,MF,Fulham,28.0,1996.0,35,32,2466,27.4,0.11,0.26,0.36,0.11,0.36,0.16,0.25,0.42,0.16,0.42,0.0,0.22,4.42,1.9,4.71,MF,Fulham,0.8,0.4,0.33,1.35,24.3,1.02,0.15,16.23
Declan Rice,ENG,MF,Arsenal,25.0,1999.0,35,34,2955,32.8,0.18,0.21,0.4,0.18,0.4,0.08,0.14,0.23,0.08,0.23,0.0,0.12,1.68,2.01,7.9,MF,Arsenal,2.38,1.43,0.98,1.65,59.3,0.67,1.25,23.24
Rodri,ESP,MF,Manchester City,27.0,1996.0,30,30,2571,28.6,0.25,0.25,0.49,0.25,0.49,0.13,0.11,0.24,0.13,0.24,0.03,0.28,1.75,2.48,11.61,MF,Manchester City,2.17,1.36,0.94,1.78,52.9,0.84,0.77,32.29
Pablo Sarabia,ESP,MF,Wolves,31.0,1992.0,28,20,1700,18.9,0.21,0.37,0.58,0.11,0.48,0.29,0.31,0.6,0.2,0.51,0.0,0.21,6.93,2.17,5.61,MF,Wolves,1.01,0.63,0.58,1.8,32.4,1.22,0.48,19.68
Bernardo Silva,POR,MF,Manchester City,29.0,1994.0,29,25,2229,24.8,0.24,0.2,0.44,0.24,0.44,0.14,0.26,0.4,0.14,0.4,0.0,0.28,8.91,5.0,6.45,MF,Manchester City,1.9,0.89,0.93,2.06,45.1,1.13,0.65,29.42
Tomáš Souček,CZE,MF,West Ham,29.0,1995.0,34,31,2600,28.9,0.21,0.07,0.28,0.21,0.28,0.22,0.05,0.28,0.22,0.28,0.0,0.24,1.25,0.24,2.66,MF,West Ham,1.66,1.14,0.66,1.49,44.2,0.83,1.28,7.06
Vinicius Souza,BRA,MF,Sheffield Utd,24.0,1999.0,33,28,2475,27.5,0.04,0.0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,0.0,0.07,0.69,0.25,2.33,MF,Sheffield Utd,4.4,2.73,1.38,2.58,53.5,1.2,1.09,5.54
Dominik Szoboszlai,HUN,MF,Liverpool,23.0,2000.0,30,25,2071,23.0,0.13,0.09,0.22,0.13,0.22,0.15,0.24,0.39,0.15,0.39,0.0,0.04,6.65,3.17,6.43,MF,Liverpool,1.39,0.83,0.7,2.17,32.0,1.48,0.61,23.25
Youri Tielemans,BEL,MF,Aston Villa,26.0,1997.0,31,16,1558,17.3,0.06,0.35,0.4,0.06,0.4,0.07,0.15,0.21,0.07,0.21,0.0,0.17,2.66,1.33,7.28,MF,Aston Villa,2.31,1.1,0.92,2.2,42.1,1.27,0.81,19.73
James Ward-Prowse,ENG,MF,West Ham,29.0,1994.0,34,32,2776,30.8,0.19,0.23,0.42,0.13,0.36,0.19,0.25,0.44,0.14,0.39,0.0,0.13,1.95,0.58,4.32,MF,West Ham,1.46,0.94,0.58,1.27,46.2,0.68,1.1,11.89
Ryan Yates,ENG,MF,Nott'ham Forest,26.0,1997.0,32,18,1774,19.7,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12,0.0,0.3,1.83,0.81,3.5,MF,Nott'ham Forest,2.79,1.73,0.76,1.47,51.7,0.71,1.02,9.13
Martin Ødegaard,NOR,MF,Arsenal,25.0,1998.0,32,32,2822,31.4,0.26,0.26,0.51,0.19,0.45,0.2,0.27,0.47,0.15,0.42,0.0,0.06,5.7,2.64,9.75,MF,Arsenal,1.43,0.51,0.48,1.66,28.8,1.18,0.41,29.44
Salis Abdul Samed,GHA,MF,Lens,24.0,2000.0,25,17,1507,16.7,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,0.0,0.12,1.2,0.48,4.61,MF,Lens,1.26,0.84,0.48,1.08,44.4,0.6,0.72,10.54
Laurent Abergel,FRA,MF,Lorient,31.0,1993.0,30,29,2590,28.8,0.03,0.03,0.07,0.03,0.07,0.03,0.07,0.1,0.03,0.1,0.0,0.1,1.67,1.18,5.9,MF,Lorient,2.53,1.49,1.11,2.95,37.6,1.84,1.81,15.48
Jim Allevinah,GAB,MF,Clermont Foot,29.0,1995.0,27,21,1769,19.7,0.1,0.05,0.15,0.1,0.15,0.11,0.06,0.17,0.11,0.17,0.0,0.0,5.69,4.26,2.59,MF,Clermont Foot,1.47,0.86,0.71,1.78,40.0,1.07,0.66,18.61
Benjamin André,FRA,MF,Lille,33.0,1990.0,28,27,2390,26.6,0.11,0.0,0.11,0.11,0.11,0.09,0.05,0.14,0.09,0.14,0.0,0.26,1.13,0.71,6.17,MF,Lille,3.2,1.77,1.54,2.86,53.9,1.32,1.13,14.76
Neil El Aynaoui,FRA,MF,Lens,22.0,2001.0,25,17,1566,17.4,0.06,0.11,0.17,0.06,0.17,0.14,0.05,0.19,0.14,0.19,0.0,0.06,2.53,1.44,3.39,MF,Lens,2.13,1.15,1.15,2.64,43.5,1.49,1.84,11.67
Nabil Bentaleb,ALG,MF,Lille,29.0,1994.0,23,20,1697,18.9,0.0,0.16,0.16,0.0,0.16,0.01,0.05,0.06,0.01,0.06,0.0,0.32,0.85,0.53,6.3,MF,Lille,2.33,1.53,0.95,1.9,50.0,0.95,1.64,14.35
Benjamin Bourigeaud,FRA,MF,Rennes,30.0,1994.0,29,26,2197,24.4,0.33,0.25,0.57,0.08,0.33,0.35,0.26,0.61,0.16,0.42,0.0,0.04,4.63,1.02,6.6,MF,Rennes,1.23,0.74,0.53,1.64,32.5,1.11,0.82,18.62
Lamine Camara,SEN,MF,Metz,20.0,2004.0,28,23,2013,22.4,0.04,0.18,0.22,0.04,0.22,0.1,0.15,0.24,0.06,0.21,0.0,0.13,2.9,0.98,3.79,MF,Metz,2.54,1.74,1.07,2.1,51.1,1.03,1.25,11.13
Mahdi Camara,FRA,MF,Brest,25.0,1998.0,29,23,1780,19.8,0.3,0.1,0.4,0.25,0.35,0.22,0.14,0.36,0.18,0.32,0.0,0.35,5.76,1.46,3.23,MF,Brest,2.27,1.57,0.91,2.27,40.0,1.36,1.21,12.29
Maxence Caqueret,FRA,MF,Lyon,24.0,2000.0,31,31,2752,30.6,0.03,0.1,0.13,0.03,0.13,0.06,0.19,0.26,0.06,0.26,0.0,0.03,2.68,2.16,8.5,MF,Lyon,2.71,1.93,1.11,3.17,35.1,2.06,1.41,23.9
Cristian Cásseres Jr.,VEN,MF,Toulouse,24.0,2000.0,29,20,1686,18.7,0.05,0.11,0.16,0.05,0.16,0.06,0.08,0.14,0.06,0.14,0.0,0.05,2.25,0.75,4.06,MF,Toulouse,3.42,1.71,1.39,2.78,50.0,1.39,1.39,10.9
Muhammed Cham,AUT,MF,Clermont Foot,23.0,2000.0,31,27,2381,26.5,0.26,0.15,0.42,0.11,0.26,0.31,0.11,0.42,0.16,0.28,0.0,0.11,4.6,2.38,5.43,MF,Clermont Foot,0.91,0.49,0.42,1.02,40.7,0.6,0.3,19.64
Pedro Chirivella,ESP,MF,Nantes,26.0,1997.0,30,30,2506,27.8,0.04,0.04,0.07,0.04,0.07,0.05,0.04,0.09,0.05,0.09,0.0,0.14,1.98,0.36,6.83,MF,Nantes,1.73,1.01,1.01,2.66,37.8,1.65,1.04,14.92
Joris Chotard,FRA,MF,Montpellier,22.0,2001.0,28,28,2350,26.1,0.0,0.11,0.11,0.0,0.11,0.02,0.07,0.09,0.02,0.09,0.0,0.19,1.34,0.38,3.79,MF,Montpellier,2.87,1.92,1.65,3.3,50.0,1.65,1.49,8.86
Habib Diarra,SEN,MF,Strasbourg,20.0,2004.0,29,26,2147,23.9,0.08,0.04,0.13,0.04,0.08,0.14,0.05,0.19,0.1,0.16,0.0,0.13,3.01,2.22,4.1,MF,Strasbourg,1.17,0.92,0.33,1.34,25.0,1.0,0.71,15.25
Douglas,BRA,MF,Nantes,27.0,1997.0,24,22,1758,19.5,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.12,0.06,0.12,0.0,0.36,0.92,0.62,5.38,MF,Nantes,3.59,2.15,1.54,2.97,51.7,1.44,1.33,12.26
Jordan Ferri,FRA,MF,Montpellier,32.0,1992.0,28,22,1975,21.9,0.05,0.05,0.09,0.05,0.09,0.02,0.09,0.11,0.02,0.11,0.0,0.23,3.01,1.69,7.81,MF,Montpellier,1.64,1.0,0.91,3.01,30.3,2.1,0.59,20.86
Youssouf Fofana,FRA,MF,Monaco,25.0,1999.0,29,29,2504,27.8,0.11,0.14,0.25,0.11,0.25,0.17,0.1,0.27,0.17,0.27,0.0,0.11,2.84,1.76,8.06,MF,Monaco,1.91,1.22,0.94,2.05,45.6,1.12,1.22,22.26
Johan Gastien,FRA,MF,Clermont Foot,36.0,1988.0,25,25,2040,22.7,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.11,0.01,0.11,0.0,0.31,0.93,0.84,6.83,MF,Clermont Foot,1.81,0.88,1.01,3.22,31.5,2.2,1.45,15.87
Aleksandr Golovin,RUS,MF,Monaco,27.0,1996.0,25,25,2147,23.9,0.25,0.25,0.5,0.25,0.5,0.14,0.2,0.34,0.14,0.34,0.04,0.33,6.57,2.09,7.2,MF,Monaco,1.76,1.26,0.63,1.76,35.7,1.13,0.88,22.22
Angel Gomes,ENG,MF,Lille,23.0,2000.0,28,26,2321,25.8,0.0,0.23,0.23,0.0,0.23,0.07,0.19,0.27,0.07,0.27,0.0,0.16,2.44,1.67,7.17,MF,Lille,0.89,0.47,0.5,1.12,44.8,0.62,0.62,19.88
Amine Harit,MAR,MF,Marseille,26.0,1997.0,27,21,1793,19.9,0.05,0.1,0.15,0.05,0.15,0.19,0.18,0.37,0.19,0.37,0.0,0.25,5.58,4.12,6.33,MF,Marseille,1.31,0.75,0.55,1.76,31.4,1.21,0.6,25.32
Danley Jean-Jacques,HAI,MF,Metz,23.0,2000.0,30,28,2500,27.8,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.11,0.09,0.11,0.0,0.14,1.87,1.19,2.88,MF,Metz,1.76,0.9,0.65,1.91,34.0,1.26,1.47,9.19
Yassine Kechta,MAR,MF,Le Havre,22.0,2002.0,30,19,1699,18.9,0.0,0.05,0.05,0.0,0.05,0.05,0.11,0.16,0.05,0.16,0.0,0.16,3.17,2.06,6.3,MF,Le Havre,2.33,1.22,1.53,3.6,42.6,2.06,1.22,18.77
Daler Kuzyaev,RUS,MF,Le Havre,31.0,1993.0,27,23,1986,22.1,0.09,0.09,0.18,0.09,0.18,0.08,0.06,0.14,0.08,0.14,0.0,0.05,4.34,1.04,5.2,MF,Le Havre,1.45,0.81,0.68,1.9,35.7,1.22,0.95,14.19
Pierre Lees-Melou,FRA,MF,Brest,30.0,1993.0,28,28,2490,27.7,0.14,0.0,0.14,0.14,0.14,0.09,0.09,0.17,0.09,0.17,0.04,0.43,1.52,1.84,6.97,MF,Brest,3.43,2.38,1.73,4.62,37.5,2.89,1.52,19.61
Hugo Magnetti,FRA,MF,Brest,25.0,1998.0,30,27,2070,23.0,0.09,0.0,0.09,0.09,0.09,0.08,0.07,0.15,0.08,0.15,0.0,0.22,2.26,1.35,3.78,MF,Brest,1.91,1.09,0.96,2.3,41.5,1.35,0.57,11.84
Takumi Minamino,JPN,MF,Monaco,29.0,1995.0,28,24,2014,22.4,0.36,0.22,0.58,0.36,0.58,0.24,0.19,0.43,0.24,0.43,0.0,0.13,8.3,2.01,4.15,MF,Monaco,1.47,0.71,0.71,2.28,31.4,1.56,0.49,16.66
Florent Mollet,FRA,MF,Nantes,32.0,1991.0,26,23,1990,22.1,0.18,0.18,0.36,0.18,0.36,0.27,0.11,0.38,0.27,0.38,0.0,0.18,6.47,1.13,4.21,MF,Nantes,0.77,0.5,0.45,1.4,32.3,0.95,0.59,13.07
Marshall Munetsi,ZIM,MF,Reims,27.0,1996.0,24,22,1926,21.4,0.14,0.14,0.28,0.14,0.28,0.26,0.04,0.3,0.26,0.3,0.0,0.23,3.5,0.79,2.8,MF,Reims,2.29,1.5,1.21,2.43,50.0,1.21,0.65,8.86
Youssouf Ndayishimiye,BDI,MF,Nice,25.0,1998.0,22,20,1696,18.8,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,0.05,0.32,0.69,0.85,5.05,MF,Nice,1.65,1.06,0.64,1.17,54.5,0.53,0.64,12.18
Julien Ponceau,FRA,MF,Lorient,23.0,2000.0,29,25,2061,22.9,0.13,0.04,0.17,0.13,0.17,0.14,0.11,0.25,0.14,0.25,0.0,0.17,6.03,4.41,5.98,MF,Lorient,1.22,0.52,0.39,1.27,31.0,0.87,0.7,25.79
Morgan Sanson,FRA,MF,Nice,29.0,1994.0,27,22,1823,20.3,0.1,0.15,0.25,0.1,0.25,0.14,0.19,0.33,0.14,0.33,0.0,0.2,4.58,2.71,3.45,MF,Nice,1.28,0.94,0.59,1.43,41.4,0.84,0.94,15.78
Baptiste Santamaria,FRA,MF,Rennes,29.0,1995.0,29,21,1861,20.7,0.0,0.05,0.05,0.0,0.05,0.08,0.03,0.11,0.08,0.11,0.0,0.14,1.69,0.63,6.23,MF,Rennes,2.37,1.45,1.35,2.13,63.6,0.77,1.59,14.36
Téji Savanier,FRA,MF,Montpellier,32.0,1991.0,31,31,2701,30.0,0.27,0.2,0.47,0.03,0.23,0.3,0.23,0.53,0.12,0.35,0.0,0.23,3.47,1.27,7.43,MF,Montpellier,1.23,0.67,0.47,1.97,23.7,1.5,1.07,20.39
Vincent Sierro,SUI,MF,Toulouse,28.0,1995.0,28,23,2091,23.2,0.26,0.09,0.34,0.09,0.17,0.24,0.08,0.33,0.07,0.15,0.0,0.34,2.76,0.73,5.47,MF,Toulouse,1.59,0.86,1.08,3.1,34.7,2.03,1.16,14.36
Ibrahima Sissoko,MLI,MF,Strasbourg,26.0,1997.0,25,17,1540,17.1,0.0,0.06,0.06,0.0,0.06,0.06,0.07,0.12,0.06,0.12,0.0,0.35,0.94,0.82,4.39,MF,Strasbourg,2.51,1.75,1.29,1.7,75.9,0.41,0.99,11.07
Moussa Sissoko,FRA,MF,Nantes,34.0,1989.0,23,18,1551,17.2,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12,0.0,0.29,3.14,1.45,3.78,MF,Nantes,1.4,0.76,0.64,1.22,52.4,0.58,0.58,11.62
Florian Sotoca,FRA,MF,Lens,33.0,1990.0,29,26,2337,26.0,0.27,0.19,0.46,0.12,0.31,0.31,0.22,0.52,0.19,0.4,0.04,0.12,8.92,1.96,5.23,MF,Lens,1.19,0.77,0.62,1.31,47.1,0.69,0.58,18.02
Stijn Spierings,NED,MF,Toulouse,28.0,1996.0,21,16,1506,16.7,0.0,0.06,0.06,0.0,0.06,0.02,0.03,0.06,0.02,0.06,0.0,0.3,1.32,0.96,9.34,MF,Toulouse,3.17,2.4,1.74,3.05,56.9,1.32,1.56,21.44
Teddy Teuma,MLT,MF,Reims,30.0,1993.0,25,22,1889,21.0,0.29,0.14,0.43,0.24,0.38,0.14,0.17,0.31,0.1,0.27,0.0,0.29,5.0,1.33,6.52,MF,Reims,2.29,1.57,1.1,2.57,42.6,1.48,0.86,18.61
Khéphren Thuram,FRA,MF,Nice,23.0,2001.0,24,22,1847,20.5,0.05,0.0,0.05,0.05,0.05,0.12,0.16,0.28,0.12,0.28,0.0,0.29,2.63,3.07,4.49,MF,Nice,1.9,1.32,0.93,1.8,51.4,0.88,0.83,18.15
Corentin Tolisso,FRA,MF,Lyon,29.0,1994.0,23,19,1608,17.9,0.11,0.06,0.17,0.06,0.11,0.15,0.09,0.25,0.11,0.2,0.0,0.28,3.58,1.56,7.88,MF,Lyon,1.68,1.01,0.67,1.68,40.0,1.01,0.5,20.89
Abdoulaye Touré,GUI,MF,Le Havre,30.0,1994.0,27,24,2032,22.6,0.09,0.0,0.09,0.0,0.0,0.12,0.04,0.17,0.05,0.1,0.0,0.18,1.02,0.88,6.06,MF,Le Havre,1.73,1.11,1.11,2.3,48.1,1.19,1.11,15.03
Manuel Ugarte Ribeiro,URU,MF,Paris S-G,23.0,2001.0,23,19,1752,19.5,0.0,0.1,0.1,0.0,0.1,0.02,0.04,0.07,0.02,0.07,0.0,0.26,1.18,0.82,4.21,MF,Paris S-G,4.51,2.62,2.0,4.0,50.0,2.0,2.05,10.92
Jordan Veretout,FRA,MF,Marseille,31.0,1993.0,26,21,1926,21.4,0.05,0.09,0.14,0.05,0.14,0.13,0.19,0.32,0.13,0.32,0.0,0.19,3.5,2.34,7.94,MF,Marseille,1.64,0.93,0.75,1.59,47.1,0.84,0.56,23.23
Vitinha,POR,MF,Paris S-G,24.0,2000.0,27,22,2036,22.6,0.31,0.18,0.49,0.31,0.49,0.14,0.14,0.27,0.14,0.27,0.0,0.0,5.35,1.73,7.83,MF,Paris S-G,1.68,1.02,0.71,2.12,33.3,1.42,0.97,22.94
Warren Zaire-Emery,FRA,MF,Paris S-G,18.0,2006.0,25,20,1872,20.8,0.1,0.14,0.24,0.1,0.24,0.07,0.15,0.22,0.07,0.22,0.0,0.19,4.33,2.6,5.43,MF,Paris S-G,2.31,1.35,1.25,2.36,53.1,1.11,0.67,19.39
Denis Zakaria,SUI,MF,Monaco,27.0,1996.0,25,24,2137,23.7,0.17,0.0,0.17,0.17,0.17,0.06,0.05,0.11,0.06,0.11,0.08,0.55,0.97,1.14,4.51,MF,Monaco,1.6,1.14,0.51,1.27,40.0,0.76,1.98,12.5
Maximilian Arnold,GER,MF,Wolfsburg,29.0,1994.0,27,24,2236,24.8,0.08,0.04,0.12,0.08,0.12,0.04,0.13,0.17,0.04,0.17,0.0,0.36,0.65,0.73,4.92,MF,Wolfsburg,1.9,1.21,1.05,2.18,48.1,1.13,0.97,12.19
Leandro Barreiro Martins,LUX,MF,Mainz 05,24.0,2000.0,28,26,2336,26.0,0.12,0.0,0.12,0.12,0.12,0.15,0.03,0.18,0.15,0.18,0.0,0.23,1.54,0.73,3.12,MF,Mainz 05,2.04,1.27,0.81,1.58,51.2,0.77,1.23,8.8
Matúš Bero,SVK,MF,Bochum,28.0,1995.0,21,19,1508,16.8,0.06,0.06,0.12,0.06,0.12,0.16,0.06,0.23,0.16,0.23,0.0,0.36,4.11,0.54,2.14,MF,Bochum,1.61,1.07,0.71,1.67,42.9,0.95,0.6,6.02
Julian Brandt,GER,MF,Dortmund,28.0,1996.0,29,26,2123,23.6,0.25,0.47,0.72,0.25,0.72,0.17,0.4,0.57,0.17,0.57,0.0,0.08,6.44,2.92,4.36,MF,Dortmund,0.68,0.55,0.38,1.06,36.0,0.68,0.34,20.06
Emre Can,GER,MF,Dortmund,30.0,1994.0,24,21,1863,20.7,0.1,0.1,0.19,0.0,0.1,0.1,0.07,0.17,0.02,0.09,0.0,0.24,0.82,1.5,5.02,MF,Dortmund,2.95,2.08,1.35,2.27,59.6,0.92,1.06,15.1
Fares Chaïbi,ALG,MF,Eint Frankfurt,21.0,2002.0,25,18,1669,18.5,0.11,0.16,0.27,0.11,0.27,0.14,0.3,0.44,0.14,0.44,0.0,0.11,6.92,2.49,4.11,MF,Eint Frankfurt,1.24,0.76,0.27,0.76,35.7,0.49,0.27,16.61
Junior Dina Ebimbe,FRA,MF,Eint Frankfurt,23.0,2000.0,28,23,1803,20.0,0.2,0.15,0.35,0.2,0.35,0.21,0.14,0.36,0.21,0.36,0.0,0.25,6.85,2.6,3.85,MF,Eint Frankfurt,2.05,1.35,0.85,1.85,45.9,1.0,0.35,16.7
Ritsu Doan,JPN,MF,Freiburg,25.0,1998.0,27,23,1976,22.0,0.23,0.09,0.32,0.23,0.32,0.19,0.12,0.31,0.19,0.31,0.0,0.05,5.64,2.05,3.05,MF,Freiburg,2.05,1.09,0.82,1.5,54.5,0.68,0.36,13.62
Maximilian Eggestein,GER,MF,Freiburg,27.0,1996.0,30,30,2644,29.4,0.03,0.07,0.1,0.03,0.1,0.07,0.09,0.16,0.07,0.16,0.0,0.17,2.01,1.16,4.97,MF,Freiburg,1.43,0.71,0.37,1.05,35.5,0.68,0.82,13.61
Yannick Gerhardt,GER,MF,Wolfsburg,30.0,1994.0,24,17,1540,17.1,0.12,0.06,0.18,0.12,0.18,0.11,0.04,0.15,0.11,0.15,0.0,0.29,4.21,0.94,2.57,MF,Wolfsburg,1.81,1.17,0.53,1.87,28.1,1.35,0.41,8.45
Leon Goretzka,GER,MF,Bayern Munich,29.0,1995.0,27,23,2004,22.3,0.22,0.31,0.54,0.22,0.54,0.22,0.22,0.44,0.22,0.44,0.0,0.13,2.74,2.87,7.4,MF,Bayern Munich,1.61,0.9,0.99,2.11,46.8,1.12,1.21,25.31
Mario Götze,GER,MF,Eint Frankfurt,31.0,1992.0,27,20,1799,20.0,0.15,0.1,0.25,0.15,0.25,0.14,0.14,0.27,0.14,0.27,0.05,0.25,5.35,0.85,4.95,MF,Eint Frankfurt,1.9,1.3,1.05,2.6,40.4,1.55,0.4,13.1
Vincenzo Grifo,ITA,MF,Freiburg,31.0,1993.0,29,26,2057,22.9,0.35,0.31,0.66,0.09,0.39,0.32,0.34,0.66,0.11,0.45,0.0,0.09,5.68,1.79,4.37,MF,Freiburg,1.09,0.74,0.57,1.22,46.4,0.66,0.52,16.7
Nicolas Höfler,GER,MF,Freiburg,34.0,1990.0,26,24,2158,24.0,0.04,0.04,0.08,0.04,0.08,0.03,0.01,0.04,0.03,0.04,0.04,0.42,0.5,0.58,3.54,MF,Freiburg,2.5,1.54,0.88,1.92,45.7,1.04,1.29,8.6
Jonas Hofmann,GER,MF,Leverkusen,31.0,1992.0,29,24,1997,22.2,0.23,0.27,0.5,0.23,0.5,0.22,0.32,0.54,0.22,0.54,0.0,0.14,9.23,2.66,4.68,MF,Leverkusen,0.9,0.63,0.45,1.04,43.5,0.59,0.36,19.16
Fabian Holland,GER,MF,Darmstadt 98,33.0,1990.0,23,23,1835,20.4,0.0,0.1,0.1,0.0,0.1,0.03,0.07,0.1,0.03,0.1,0.05,0.2,2.3,0.54,4.26,MF,Darmstadt 98,2.3,1.27,0.98,1.81,54.1,0.83,1.18,10.09
Lee Jae-sung,KOR,MF,Mainz 05,31.0,1992.0,26,21,1868,20.8,0.19,0.14,0.34,0.19,0.34,0.19,0.14,0.33,0.19,0.33,0.0,0.24,5.29,1.11,3.61,MF,Mainz 05,1.35,0.77,0.63,1.59,39.4,0.96,1.11,11.68
Florian Kainz,AUT,MF,Köln,31.0,1992.0,30,27,2039,22.7,0.18,0.18,0.35,0.0,0.18,0.18,0.14,0.32,0.04,0.18,0.0,0.13,3.83,1.72,4.85,MF,Köln,1.19,0.84,0.75,1.63,45.9,0.88,0.57,16.17
Atakan Karazor,GER,MF,Stuttgart,27.0,1996.0,30,29,2470,27.4,0.0,0.11,0.11,0.0,0.11,0.04,0.08,0.12,0.03,0.12,0.0,0.33,1.13,0.84,4.64,MF,Stuttgart,2.52,1.5,1.02,2.12,48.3,1.09,0.95,11.8
Joshua Kimmich,GER,MF,Bayern Munich,29.0,1995.0,25,24,1933,21.5,0.05,0.28,0.33,0.05,0.33,0.05,0.33,0.37,0.05,0.37,0.05,0.05,4.7,2.42,10.28,MF,Bayern Munich,1.72,1.3,1.02,1.58,64.7,0.56,0.6,28.71
Ansgar Knauff,GER,MF,Eint Frankfurt,22.0,2002.0,28,22,1908,21.2,0.33,0.05,0.38,0.33,0.38,0.26,0.07,0.32,0.26,0.32,0.05,0.28,6.93,3.3,2.31,MF,Eint Frankfurt,1.89,1.13,0.75,1.37,55.2,0.61,0.75,15.89
Andrej Kramarić,CRO,MF,Hoffenheim,32.0,1991.0,27,22,1929,21.4,0.51,0.14,0.65,0.28,0.42,0.42,0.25,0.67,0.23,0.48,0.0,0.14,6.64,2.66,4.72,MF,Hoffenheim,0.47,0.09,0.23,0.56,41.7,0.33,0.42,20.25
Hugo Larsson,SWE,MF,Eint Frankfurt,19.0,2004.0,26,21,1837,20.4,0.1,0.05,0.15,0.1,0.15,0.06,0.07,0.13,0.06,0.13,0.0,0.05,2.01,1.27,3.19,MF,Eint Frankfurt,1.52,0.83,0.74,1.32,55.6,0.59,1.42,10.79
Dejan Ljubicic,AUT,MF,Köln,26.0,1997.0,25,23,1958,21.8,0.0,0.09,0.09,0.0,0.09,0.08,0.13,0.21,0.08,0.21,0.0,0.28,3.07,1.79,3.49,MF,Köln,1.88,1.24,0.87,1.88,46.3,1.01,0.83,12.34
Anthony Losilla,FRA,MF,Bochum,38.0,1986.0,29,29,2440,27.1,0.04,0.07,0.11,0.04,0.11,0.08,0.05,0.14,0.08,0.14,0.0,0.37,1.4,0.41,3.54,MF,Bochum,2.25,1.29,0.81,1.81,44.9,1.0,0.92,8.35
Senne Lynen,BEL,MF,Werder Bremen,25.0,1999.0,29,17,1572,17.5,0.0,0.17,0.17,0.0,0.17,0.02,0.1,0.12,0.02,0.12,0.0,0.29,1.31,0.46,3.14,MF,Werder Bremen,3.43,2.0,1.6,3.54,45.2,1.94,2.29,7.88
Lovro Majer,CRO,MF,Wolfsburg,26.0,1998.0,29,22,1837,20.4,0.24,0.2,0.44,0.15,0.34,0.25,0.14,0.39,0.18,0.31,0.0,0.15,6.27,2.5,5.1,MF,Wolfsburg,1.67,0.78,0.54,1.32,40.7,0.78,0.34,19.35
Lennard Maloney,USA,MF,Heidenheim,24.0,1999.0,27,26,2169,24.1,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07,0.0,0.04,0.71,0.12,2.49,MF,Heidenheim,1.78,1.08,1.04,2.45,42.4,1.41,1.0,5.62
Eric Martel,GER,MF,Köln,22.0,2002.0,27,26,2232,24.8,0.04,0.04,0.08,0.04,0.08,0.08,0.04,0.12,0.08,0.12,0.0,0.2,1.17,0.73,2.58,MF,Köln,2.74,1.65,1.45,2.58,56.3,1.13,1.49,7.47
Enzo Millot,FRA,MF,Stuttgart,21.0,2002.0,29,25,2068,23.0,0.22,0.09,0.3,0.17,0.26,0.22,0.14,0.36,0.19,0.33,0.0,0.22,6.96,1.74,4.83,MF,Stuttgart,1.61,0.87,0.7,1.52,45.7,0.83,0.7,16.03
Jamal Musiala,GER,MF,Bayern Munich,21.0,2003.0,24,20,1755,19.5,0.51,0.26,0.77,0.51,0.77,0.4,0.31,0.71,0.4,0.71,0.0,0.1,8.36,5.28,5.13,MF,Bayern Munich,2.05,1.28,0.72,1.85,38.9,1.13,0.82,29.33
Patrick Osterhage,GER,MF,Bochum,24.0,2000.0,21,18,1636,18.2,0.11,0.0,0.11,0.11,0.11,0.08,0.03,0.1,0.08,0.1,0.0,0.27,3.46,1.37,3.02,MF,Bochum,1.92,1.32,0.77,1.7,45.2,0.93,1.32,10.43
Exequiel Palacios,ARG,MF,Leverkusen,25.0,1998.0,22,19,1672,18.6,0.16,0.22,0.38,0.11,0.32,0.12,0.2,0.32,0.08,0.28,0.0,0.32,2.31,1.24,8.44,MF,Leverkusen,3.06,1.72,1.24,2.58,47.9,1.34,1.56,21.74
