Player,Nation,Pos_x,Squad_x,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90,Pos_y,Squad_y,Tkl,TklW,Tkl.1,Att,Tkl%,Lost,Int,Performance_rating
Sandi Lovrić,SVN,MF,Udinese,26.0,1998.0,29,21,1987,22.1,0.05,0.14,0.18,0.05,0.18,0.16,0.15,0.31,0.16,0.31,0.05,0.05,3.62,2.35,3.62,MF,Udinese,1.13,0.54,0.41,1.04,39.1,0.63,0.95,14.76
Giulio Maggiore,ITA,MF,Salernitana,26.0,1998.0,25,19,1674,18.6,0.16,0.11,0.27,0.16,0.27,0.1,0.06,0.16,0.1,0.16,0.05,0.48,1.24,0.38,3.28,MF,Salernitana,2.53,1.51,1.02,2.1,48.7,1.08,1.24,8.2
Antoine Makoumbou,CGO,MF,Cagliari,25.0,1998.0,31,31,2612,29.0,0.03,0.0,0.03,0.03,0.03,0.02,0.03,0.05,0.02,0.05,0.07,0.17,1.76,1.28,4.62,MF,Cagliari,1.31,0.72,0.48,0.97,50.0,0.48,0.52,12.85
Youssef Maleh,MAR,MF,Empoli,25.0,1998.0,30,27,2325,25.8,0.0,0.04,0.04,0.0,0.04,0.06,0.08,0.13,0.06,0.13,0.0,0.39,2.29,0.58,4.03,MF,Empoli,2.64,1.78,0.85,1.94,44.0,1.09,0.78,9.53
Răzvan Marin,ROU,MF,Empoli,27.0,1996.0,26,17,1537,17.1,0.0,0.18,0.18,0.0,0.18,0.04,0.16,0.2,0.04,0.2,0.0,0.06,1.35,0.94,3.33,MF,Empoli,2.05,0.99,1.11,1.58,70.4,0.47,0.29,9.96
Luca Mazzitelli,ITA,MF,Frosinone,28.0,1995.0,27,24,2083,23.1,0.22,0.0,0.22,0.22,0.22,0.09,0.05,0.14,0.09,0.14,0.04,0.26,2.25,0.74,6.8,MF,Frosinone,1.9,1.0,1.08,2.08,52.1,1.0,0.69,16.54
Weston McKennie,USA,MF,Juventus,25.0,1998.0,32,27,2459,27.3,0.0,0.26,0.26,0.0,0.26,0.11,0.14,0.24,0.11,0.24,0.0,0.22,5.97,2.27,3.19,MF,Juventus,1.65,1.03,0.59,0.88,66.7,0.29,0.62,13.75
Arthur Melo,BRA,MF,Fiorentina,27.0,1996.0,30,21,1786,19.8,0.0,0.15,0.15,0.0,0.15,0.01,0.08,0.09,0.01,0.09,0.0,0.1,1.16,0.86,5.81,MF,Fiorentina,2.12,1.36,1.21,1.92,63.2,0.71,0.81,14.55
Henrikh Mkhitaryan,ARM,MF,Inter,35.0,1989.0,34,33,2663,29.6,0.07,0.27,0.34,0.07,0.34,0.12,0.15,0.27,0.12,0.27,0.0,0.14,4.19,3.01,6.05,MF,Inter,1.96,1.11,0.71,1.55,45.7,0.84,0.98,22.15
Nahitan Nández,URU,MF,Cagliari,28.0,1995.0,29,25,2000,22.2,0.05,0.09,0.14,0.0,0.09,0.14,0.1,0.24,0.11,0.2,0.0,0.27,3.47,2.16,3.15,MF,Cagliari,2.21,1.4,0.86,2.43,35.2,1.58,0.72,13.03
Remi Oudin,FRA,MF,Lecce,27.0,1996.0,27,20,1679,18.7,0.16,0.11,0.27,0.16,0.27,0.09,0.29,0.38,0.09,0.38,0.0,0.16,3.85,1.02,4.17,MF,Lecce,1.28,0.75,0.59,0.96,61.1,0.37,1.07,12.37
Leandro Paredes,ARG,MF,Roma,29.0,1994.0,31,29,2428,27.0,0.11,0.19,0.3,0.0,0.19,0.12,0.08,0.2,0.03,0.11,0.0,0.52,0.59,1.07,7.26,MF,Roma,1.89,1.19,1.07,2.52,42.6,1.44,1.07,18.33
Mario Pašalić,CRO,MF,Atalanta,29.0,1995.0,29,18,1640,18.2,0.27,0.27,0.55,0.22,0.49,0.29,0.18,0.47,0.24,0.43,0.0,0.11,3.63,2.09,4.78,MF,Atalanta,1.32,0.71,0.6,1.26,47.8,0.66,0.77,17.88
