Player,Nation,Age,MP,Starts,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90,Performance_rating
Deniz Undav,GER,27.0,27,20,20.3,0.89,0.44,1.33,0.89,1.33,0.68,0.29,0.97,0.64,0.93,0.0,0.2,7.73,2.02,4.63,4.68
Wout Weghorst,NED,31.0,26,24,21.9,0.32,0.14,0.46,0.27,0.41,0.33,0.16,0.49,0.29,0.45,0.0,0.18,5.98,0.64,2.6,1.52
Jonas Wind,DEN,25.0,31,28,26.8,0.37,0.26,0.63,0.37,0.63,0.33,0.18,0.51,0.29,0.48,0.0,0.11,3.81,0.52,2.99,2.15
Pontus Almqvist,SWE,24.0,27,23,21.8,0.09,0.0,0.09,0.09,0.09,0.11,0.08,0.18,0.11,0.18,0.0,0.23,5.78,3.17,1.33,0.13
Felipe Anderson,BRA,31.0,34,31,28.5,0.18,0.21,0.39,0.18,0.39,0.14,0.22,0.36,0.14,0.36,0.0,0.11,7.26,3.47,4.04,1.24
Nicolò Cambiaghi,ITA,23.0,33,28,26.9,0.04,0.04,0.07,0.04,0.07,0.14,0.1,0.24,0.14,0.24,0.0,0.11,7.06,4.42,2.34,0.17
Matteo Cancellieri,ITA,22.0,32,15,16.8,0.18,0.12,0.3,0.18,0.3,0.2,0.13,0.33,0.2,0.33,0.0,0.42,6.85,2.62,1.31,0.66
Walid Cheddira,MAR,26.0,32,20,19.9,0.3,0.05,0.35,0.25,0.3,0.36,0.07,0.43,0.32,0.39,0.0,0.0,5.28,1.21,1.01,1.35
Federico Chiesa,ITA,26.0,29,22,21.1,0.33,0.05,0.38,0.28,0.33,0.25,0.25,0.5,0.21,0.47,0.0,0.05,8.86,4.55,2.89,1.42
Charles De Ketelaere,BEL,23.0,30,22,19.3,0.36,0.31,0.67,0.31,0.62,0.27,0.26,0.53,0.23,0.49,0.0,0.05,9.22,3.52,5.54,2.32
