Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Ronald Araújo,URU,DF,Barcelona,25.0,1999,21.9,1.23,1.00,0.50,0.68,0.05,0.55,0.78,70.6,0.23,0.91,0.50,0.41,0.55,1.78,3.01,0.09
Adu Ares,ESP,FW,Athletic Club,22.0,2001,2.3,3.04,1.74,1.30,0.87,0.87,0.87,1.30,66.7,0.43,0.43,0.00,0.43,0.43,3.48,0.00,0.00
Jesús Areso,ESP,DF,Osasuna,24.0,1999,27.4,1.53,0.80,0.84,0.44,0.26,1.06,1.31,80.6,0.26,1.28,0.55,0.73,0.55,2.08,2.01,0.00
Matias Arezo,URU,FW,Granada,21.0,2002,3.8,1.84,0.79,0.53,1.32,0.00,0.26,1.32,20.0,1.05,1.05,0.26,0.79,0.00,1.84,1.05,0.00
Iñigo Arguibide,ESP,DF,Osasuna,19.0,2005,0.2,5.00,0.00,0.00,5.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00
José Arnaiz,ESP,FW,Osasuna,29.0,1995,9.5,1.16,0.63,0.53,0.32,0.32,0.42,1.89,22.2,1.47,1.16,0.21,0.95,0.32,1.47,0.21,0.00
Sergio Arribas,ESP,MF,Almería,22.0,2001,21.3,1.46,0.70,0.75,0.66,0.05,0.56,1.31,42.9,0.75,0.80,0.05,0.75,0.75,2.21,0.38,0.05
Kepa Arrizabalaga,ESP,GK,Real Madrid,29.0,1994,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.0,0.08,0.00,0.00,0.00,0.00,0.00,0.31,0.00
Iago Aspas,ESP,FW,Celta Vigo,36.0,1987,27.8,0.32,0.18,0.11,0.22,0.00,0.04,0.50,7.1,0.47,0.72,0.11,0.61,0.29,0.61,0.29,0.00
Ezequiel Ávila,ARG,FW,Osasuna,30.0,1994,9.6,0.31,0.21,0.10,0.10,0.10,0.31,1.15,27.3,0.83,1.46,0.00,1.46,0.42,0.73,0.83,0.00
Ezequiel Ávila,ARG,FW,Betis,30.0,1994,3.3,0.61,0.30,0.00,0.61,0.00,0.30,0.91,33.3,0.61,0.61,0.00,0.61,0.30,0.91,1.21,0.00
César Azpilicueta,ESP,DF,Atlético Madrid,34.0,1989,13.7,1.75,1.02,1.02,0.66,0.07,0.80,1.24,64.7,0.44,1.61,0.29,1.31,1.02,2.77,2.99,0.00
Iddrisu Baba,GHA,MF,Almería,28.0,1996,15.9,2.89,1.64,1.70,1.13,0.06,1.07,2.45,43.6,1.38,1.26,0.38,0.88,0.69,3.58,1.70,0.13
Srđan Babić,SRB,DF,Almería,28.0,1996,1.0,2.00,2.00,0.00,2.00,0.00,1.00,1.00,100.0,0.00,1.00,1.00,0.00,0.00,2.00,2.00,0.00
Loïc Bade,FRA,DF,Sevilla,24.0,2000,22.4,2.54,1.61,2.10,0.45,0.00,1.16,1.92,60.5,0.76,0.94,0.63,0.31,1.56,4.11,4.55,0.09
Alex Baena,ESP,MF,Villarreal,22.0,2001,27.0,1.26,0.78,0.37,0.59,0.30,0.74,1.67,44.4,0.93,0.74,0.07,0.67,0.44,1.70,0.63,0.04
Eric Bailly,CIV,DF,Villarreal,30.0,1994,7.3,0.55,0.41,0.41,0.14,0.00,0.27,0.27,100.0,0.00,0.82,0.82,0.00,1.23,1.78,3.84,0.27
Cédric Bakambu,COD,FW,Betis,33.0,1991,2.2,0.45,0.00,0.00,0.45,0.00,0.00,0.00,,0.00,0.91,0.00,0.91,0.00,0.45,0.00,0.00
