Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Joel Asoro,SWE,FW,Metz,25.0,1999,9.4,1.38,0.96,0.74,0.64,0.00,0.32,1.06,30.0,0.74,0.74,0.11,0.64,0.64,2.02,0.96,0.00
Lorenz Assignon,TOG,DF,Rennes,23.0,2000,11.2,2.14,1.07,1.07,0.71,0.36,0.80,2.14,37.5,1.34,0.80,0.36,0.45,0.80,2.95,2.41,0.09
Youcef Atal,ALG,DF,Nice,27.0,1996,4.0,2.25,0.75,1.50,0.50,0.25,1.50,2.00,75.0,0.50,1.75,0.25,1.50,1.00,3.25,0.25,0.00
Valentin Atangana Edoa,FRA,MF,Reims,18.0,2005,6.2,3.06,2.10,0.97,1.45,0.65,0.81,2.10,38.5,1.29,0.81,0.16,0.65,0.97,4.03,1.45,0.00
Arthur Atta,FRA,MF,Metz,21.0,2003,9.3,1.94,1.51,0.86,0.75,0.32,0.86,1.94,44.4,1.08,1.18,0.22,0.97,0.97,2.90,2.15,0.00
Pierre-Emerick Aubameyang,GAB,FW,Marseille,34.0,1989,26.1,0.80,0.50,0.15,0.42,0.23,0.23,0.92,25.0,0.69,0.96,0.19,0.77,0.34,1.15,1.00,0.00
André Ayew,GHA,FW,Le Havre,34.0,1989,9.3,0.97,0.75,0.43,0.43,0.11,0.65,0.75,85.7,0.11,0.75,0.22,0.54,0.22,1.18,0.97,0.00
Neil El Aynaoui,FRA,MF,Lens,22.0,2001,17.4,2.13,1.15,0.75,1.15,0.23,1.15,2.64,43.5,1.49,1.15,0.34,0.80,1.84,3.97,1.21,0.06
Abdellah Baallal,MAR,MF,Clermont Foot,19.0,2004,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Shavy Babicka,GAB,FW,Toulouse,23.0,2000,3.8,2.37,1.84,0.53,1.58,0.26,0.53,1.32,40.0,0.79,1.05,0.00,1.05,0.00,2.37,0.53,0.00
Aliou Badara Baldé,SEN,FW,Nice,21.0,2002,0.7,5.71,1.43,0.00,4.29,1.43,1.43,1.43,100.0,0.00,2.86,1.43,1.43,4.29,10.0,0.00,0.00
Tiemoué Bakayoko,FRA,MF,Lorient,29.0,1994,13.1,2.29,1.30,1.07,0.99,0.23,0.92,1.68,54.5,0.76,0.69,0.31,0.38,1.53,3.82,1.15,0.00
Dilane Bakwa,FRA,FW,Strasbourg,21.0,2002,22.3,1.30,0.94,0.49,0.58,0.22,0.49,1.79,27.5,1.30,1.08,0.04,1.03,0.81,2.11,0.45,0.00
Carlos Baleba,CMR,MF,Lille,20.0,2004,0.7,8.57,2.86,1.43,5.71,1.43,4.29,5.71,75.0,1.43,0.00,0.00,0.00,2.86,11.4,0.00,0.00
Leonardo Balerdi,ARG,DF,Marseille,25.0,1999,23.2,3.02,1.90,2.11,0.86,0.04,1.94,2.59,75.0,0.65,1.47,0.60,0.86,1.94,4.96,3.79,0.00
Folarin Balogun,USA,FW,Monaco,22.0,2001,17.1,0.58,0.18,0.12,0.41,0.06,0.29,0.76,38.5,0.47,0.58,0.00,0.58,0.18,0.76,0.23,0.00
Muhamad Bamba,CIV,FW,Lorient,22.0,2001,9.9,,0.51,,,,,,,,,,,0.10,,,
Mamady Bangré,BFA,FW,Toulouse,22.0,2001,1.1,3.64,1.82,1.82,1.82,0.00,2.73,3.64,75.0,0.91,0.00,0.00,0.00,3.64,7.27,2.73,0.00
Bradley Barcola,FRA,FW,Lyon,21.0,2002,3.0,1.67,0.67,0.00,0.67,1.00,0.33,2.33,14.3,2.00,1.33,0.00,1.33,0.67,2.33,0.00,0.00
Bradley Barcola,FRA,FW,Paris S-G,21.0,2002,13.5,2.07,0.96,0.81,0.74,0.52,0.37,1.56,23.8,1.19,1.78,0.15,1.63,0.74,2.81,0.81,0.07
Melvin Bard,FRA,DF,Nice,23.0,2000,27.7,2.45,1.34,0.97,1.08,0.40,1.30,2.13,61.0,0.83,1.48,0.40,1.08,1.41,3.86,1.52,0.00
Steven Baseya,FRA,DF,Strasbourg,19.0,2005,0.1,20.0,10.0,10.0,10.0,0.00,10.0,10.0,100.0,0.00,0.00,0.00,0.00,0.00,20.0,10.0,0.00
Mohamed Bechikh,FRA,FW,Strasbourg,18.0,2005,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yanis Begraoui,MAR,FW,Toulouse,22.0,2001,3.3,1.52,0.91,0.30,0.91,0.30,0.91,2.73,33.3,1.82,1.21,0.00,1.21,1.52,3.03,1.52,0.00
Jérémie Bela,ANG,MF,Clermont Foot,31.0,1993,1.5,0.67,0.67,0.00,0.67,0.00,0.67,1.33,50.0,0.67,0.00,0.00,0.00,0.00,0.67,0.67,0.00
Reda Belahyane,FRA,MF,Nice,19.0,2004,0.3,3.33,0.00,0.00,3.33,0.00,3.33,3.33,100.0,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00
Alaa Bellaarouch,MAR,GK,Strasbourg,22.0,2002,12.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.08,0.08,0.75,0.17
Jean-Ricner Bellegarde,FRA,MF,Strasbourg,25.0,1998,3.0,1.67,1.00,1.00,0.67,0.00,1.00,2.00,50.0,1.00,1.33,0.00,1.33,1.33,3.00,0.00,0.00
Jeanuël Belocian,FRA,DF,Rennes,19.0,2005,15.7,1.97,1.34,1.46,0.45,0.06,1.40,1.72,81.5,0.32,1.15,0.64,0.51,0.83,2.80,3.06,0.00
Eliesse Ben Seghir,MAR,FW,Monaco,19.0,2005,3.1,1.94,1.29,0.32,1.29,0.32,0.65,1.94,33.3,1.29,1.29,0.00,1.29,0.32,2.26,0.32,0.00
Wissam Ben Yedder,FRA,FW,Monaco,33.0,1990,22.7,0.18,0.13,0.04,0.09,0.04,0.04,0.40,11.1,0.35,0.70,0.00,0.70,0.35,0.53,0.04,0.00
Saïd Benrahma,ALG,FW,Lyon,28.0,1995,7.1,1.27,0.99,0.14,0.85,0.28,0.70,0.85,83.3,0.14,0.85,0.00,0.85,0.14,1.41,0.42,0.00
Nabil Bentaleb,ALG,MF,Lille,29.0,1994,18.9,2.33,1.53,1.43,0.79,0.11,0.95,1.90,50.0,0.95,1.64,0.58,1.06,1.64,3.97,1.64,0.00
Lucas Beraldo,BRA,DF,Paris S-G,20.0,2003,9.4,2.02,1.17,1.38,0.64,0.00,0.85,2.45,34.8,1.60,1.49,0.64,0.85,1.60,3.62,1.81,0.00
Dimitry Bertaud,COD,GK,Montpellier,25.0,1998,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marco Bizot,NED,GK,Brest,33.0,1991,29.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.0,0.03,0.00,0.00,0.00,0.00,0.00,0.62,0.07
Rubén Blanco,ESP,GK,Marseille,28.0,1995,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ludovic Blas,FRA,FW,Rennes,26.0,1997,16.9,1.60,0.71,0.83,0.71,0.06,0.65,1.60,40.7,0.95,0.77,0.06,0.71,0.36,1.95,0.53,0.00
Myron Boadu,NED,FW,Monaco,23.0,2001,0.9,2.22,2.22,0.00,1.11,1.11,1.11,2.22,50.0,1.11,2.22,0.00,2.22,0.00,2.22,0.00,0.00
Jeremie Boga,CIV,FW,Nice,27.0,1997,19.4,0.88,0.36,0.31,0.52,0.05,0.52,1.03,50.0,0.52,1.24,0.10,1.13,0.31,1.19,0.15,0.00
Adama Bojang,GAM,FW,Reims,19.0,2004,0.7,2.86,1.43,1.43,0.00,1.43,0.00,0.00,,0.00,1.43,0.00,1.43,1.43,4.29,0.00,0.00
Ângelo Borges,BRA,FW,Strasbourg,19.0,2004,12.2,1.97,0.90,0.74,0.57,0.66,0.90,2.54,35.5,1.64,1.48,0.00,1.48,0.74,2.70,0.16,0.00
Neto Borges,BRA,DF,Clermont Foot,27.0,1996,25.0,1.72,0.88,0.92,0.64,0.16,1.00,2.40,41.7,1.40,1.00,0.16,0.84,2.04,3.76,2.76,0.00
Ayyoub Bouaddi,FRA,MF,Lille,16.0,2007,1.5,4.00,1.33,4.00,0.00,0.00,1.33,3.33,40.0,2.00,1.33,0.00,1.33,0.67,4.67,2.00,0.00
Badredine Bouanani,ALG,FW,Nice,19.0,2004,1.8,1.67,1.11,0.56,0.56,0.56,1.67,2.22,75.0,0.56,2.78,0.00,2.78,1.67,3.33,0.00,0.00
Badredine Bouanani,ALG,MF,Lorient,19.0,2004,3.8,0.79,0.26,0.26,0.26,0.26,0.53,1.05,50.0,0.53,0.26,0.00,0.26,0.26,1.05,0.79,0.00
Hicham Boudaoui,ALG,MF,Nice,24.0,1999,16.5,2.30,1.03,0.85,1.27,0.18,1.09,1.58,69.2,0.48,0.79,0.06,0.73,0.61,2.91,0.79,0.00
Benjamin Bourigeaud,FRA,MF,Rennes,30.0,1994,24.4,1.23,0.74,0.57,0.37,0.29,0.53,1.64,32.5,1.11,1.15,0.08,1.07,0.82,2.05,1.48,0.08
Bilal Boutobba,FRA,FW,Clermont Foot,25.0,1998,10.2,2.16,1.18,0.59,0.98,0.59,0.98,2.25,43.5,1.27,0.88,0.00,0.88,0.78,2.94,0.29,0.00
Hugo Boutsingkham,FRA,MF,Nantes,21.0,2003,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00
Bilal Brahimi,ALG,FW,Nice,24.0,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bilal Brahimi,ALG,FW,Brest,24.0,2000,2.4,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.0,1.25,0.83,0.00,0.83,0.00,0.00,0.00,0.00
Lilian Brassier,FRA,DF,Brest,24.0,1999,26.7,1.09,0.64,0.64,0.45,0.00,0.45,0.86,52.2,0.41,0.82,0.60,0.22,1.46,2.55,3.18,0.00
Maxime Busi,BEL,FW,Reims,24.0,1999,1.4,0.71,0.00,0.00,0.71,0.00,0.00,1.43,0.0,1.43,2.86,0.00,2.86,1.43,2.14,0.71,0.00
Marcin Bułka,POL,GK,Nice,24.0,1999,31.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.0,0.06,0.00,0.00,0.00,0.00,0.00,0.29,0.10
Rémy Cabella,FRA,FW,Lille,34.0,1990,15.8,3.35,2.22,1.14,1.27,0.95,1.27,3.04,41.7,1.77,1.96,0.00,1.96,0.32,3.67,0.32,0.00
Duje Ćaleta-Car,CRO,DF,Lyon,27.0,1996,19.1,1.15,0.47,0.89,0.21,0.05,0.79,0.94,83.3,0.16,1.26,0.68,0.58,0.68,1.83,4.14,0.05
Lamine Camara,SEN,MF,Metz,20.0,2004,22.4,2.54,1.74,1.07,1.21,0.27,1.07,2.10,51.1,1.03,1.52,0.09,1.43,1.25,3.79,1.47,0.00
Mahdi Camara,FRA,MF,Brest,25.0,1998,19.8,2.27,1.57,0.40,1.62,0.25,0.91,2.27,40.0,1.36,1.06,0.05,1.01,1.21,3.48,0.91,0.00
Mohamed Camara,MLI,MF,Monaco,24.0,2000,9.5,2.84,1.47,0.84,1.58,0.42,1.16,2.32,50.0,1.16,0.74,0.21,0.53,1.05,3.89,0.63,0.00
Axel Camblan,FRA,FW,Brest,20.0,2003,1.0,3.00,1.00,0.00,2.00,1.00,2.00,4.00,50.0,2.00,2.00,0.00,2.00,0.00,3.00,0.00,0.00
Fali Candé,GNB,DF,Metz,26.0,1998,18.6,1.61,0.91,1.29,0.32,0.00,0.65,1.29,50.0,0.65,1.83,1.34,0.48,0.97,2.58,5.32,0.05
Gino Caoki,FRA,MF,Lorient,19.0,2004,0.1,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maxence Caqueret,FRA,MF,Lyon,24.0,2000,30.6,2.71,1.93,1.14,1.14,0.42,1.11,3.17,35.1,2.06,1.14,0.20,0.95,1.41,4.12,0.69,0.07
Igor Carioca,BRA,DF,Lorient,27.0,1996,2.9,2.76,2.07,2.07,0.34,0.34,1.38,2.07,66.7,0.69,0.00,0.00,0.00,1.03,3.79,2.07,0.00
Antonin Cartillier,FRA,DF,Monaco,19.0,2004,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,0.00,10.0,0.00,0.00,0.00,0.00
Josué Casimir,FRA,FW,Le Havre,22.0,2001,19.9,1.46,0.80,0.65,0.65,0.15,0.35,0.85,41.2,0.50,1.06,0.10,0.95,0.60,2.06,1.26,0.00
Cristian Cásseres Jr.,VEN,MF,Toulouse,24.0,2000,18.7,3.42,1.71,1.55,1.55,0.32,1.39,2.78,50.0,1.39,1.66,0.16,1.50,1.39,4.81,1.66,0.05
Jean-Charles Castelletto,CMR,DF,Nantes,29.0,1995,26.4,1.25,0.95,0.80,0.38,0.08,0.64,1.06,60.7,0.42,0.72,0.38,0.34,1.21,2.46,3.03,0.00
Maximiliano Caufriez,BEL,DF,Clermont Foot,27.0,1997,17.6,2.10,1.59,1.70,0.28,0.11,1.08,1.65,65.5,0.57,0.91,0.57,0.34,0.91,3.01,3.69,0.11
Ivan Cavaleiro,POR,FW,Lille,30.0,1993,8.5,1.18,0.71,0.35,0.47,0.35,0.82,2.35,35.0,1.53,1.06,0.24,0.82,0.59,1.76,0.71,0.00
Fabien Centonze,FRA,DF,Nantes,28.0,1996,1.0,2.00,1.00,2.00,0.00,0.00,2.00,3.00,66.7,1.00,2.00,1.00,1.00,0.00,2.00,1.00,0.00
Fares Chaïbi,ALG,FW,Toulouse,21.0,2002,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00
Muhammed Cham,AUT,MF,Clermont Foot,23.0,2000,26.5,0.91,0.49,0.38,0.45,0.08,0.42,1.02,40.7,0.60,0.72,0.08,0.64,0.30,1.21,0.19,0.04
Brendan Chardonnet,FRA,DF,Brest,29.0,1994,30.0,1.70,1.00,0.97,0.67,0.07,0.93,1.80,51.9,0.87,1.80,1.13,0.67,1.60,3.30,4.30,0.10
Jhoanner Chávez,ECU,DF,Lens,22.0,2002,5.3,1.13,0.94,0.38,0.38,0.38,0.57,1.70,33.3,1.13,0.38,0.00,0.38,0.94,2.08,2.08,0.00
Rayan Cherki,FRA,FW,Lyon,20.0,2003,17.3,1.50,0.81,0.17,0.92,0.40,0.87,2.31,37.5,1.45,0.75,0.17,0.58,0.35,1.85,0.00,0.00
Lucas Chevalier,FRA,GK,Lille,22.0,2001,31.0,0.06,0.00,0.06,0.00,0.00,0.06,0.10,66.7,0.03,0.03,0.00,0.03,0.00,0.06,0.32,0.06
Pedro Chirivella,ESP,MF,Nantes,26.0,1997,27.8,1.73,1.01,0.72,0.97,0.04,1.01,2.66,37.8,1.65,0.76,0.14,0.61,1.04,2.77,1.01,0.00
Joris Chotard,FRA,MF,Montpellier,22.0,2001,26.1,2.87,1.92,1.65,0.88,0.34,1.65,3.30,50.0,1.65,1.65,0.73,0.92,1.49,4.37,2.11,0.00
Djaoui Cissé,FRA,MF,Rennes,20.0,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ibrahim Cissoko,NED,FW,Toulouse,21.0,2003,2.6,1.15,0.77,0.77,0.38,0.00,0.38,1.15,33.3,0.77,1.15,0.00,1.15,0.38,1.54,0.00,0.00
Alexis Claude-Maurice,FRA,MF,Nice,25.0,1998,4.9,2.24,1.02,0.61,1.02,0.61,0.20,1.02,20.0,0.82,0.82,0.20,0.61,0.82,3.06,1.43,0.00
Jonathan Clauss,FRA,DF,Marseille,31.0,1992,21.3,2.02,0.89,0.99,0.80,0.23,1.17,2.21,53.2,1.03,0.80,0.14,0.66,1.50,3.52,2.07,0.00
Marcus Coco,FRA,DF,Nantes,27.0,1996,14.0,2.64,1.57,1.71,0.64,0.29,1.71,3.86,44.4,2.14,1.21,0.07,1.14,1.36,4.00,2.36,0.00
Maxime Colin,FRA,DF,Metz,32.0,1991,17.4,2.18,1.32,1.44,0.40,0.34,0.92,1.67,55.2,0.75,1.03,0.29,0.75,0.98,3.16,3.62,0.00
Eray Cömert,SUI,DF,Nantes,26.0,1998,19.3,1.87,1.30,1.19,0.62,0.05,1.24,1.71,72.7,0.47,1.61,0.83,0.78,1.66,3.52,3.73,0.05
Joaquín Correa,ARG,FW,Marseille,29.0,1994,4.8,1.46,1.04,0.83,0.42,0.21,0.00,1.67,0.0,1.67,0.42,0.00,0.42,0.21,1.67,0.21,0.00
Oscar Cortés,COL,FW,Lens,20.0,2003,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00
David Pereira da Costa,POR,MF,Lens,23.0,2001,13.7,0.95,0.58,0.36,0.58,0.00,0.51,1.24,41.2,0.73,1.39,0.29,1.09,1.02,1.97,0.58,0.07
Logan Costa,CPV,DF,Toulouse,23.0,2001,26.4,1.36,0.83,1.02,0.34,0.00,0.49,0.83,59.1,0.34,1.44,0.91,0.53,0.76,2.12,4.28,0.04
Grégoire Coudert,FRA,GK,Brest,25.0,1999,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mamadou Coulibaly,FRA,MF,Monaco,20.0,2004,0.8,7.50,3.75,2.50,3.75,1.25,2.50,7.50,33.3,5.00,2.50,0.00,2.50,0.00,7.50,0.00,0.00
Tanguy Coulibaly,FRA,FW,Montpellier,23.0,2001,5.3,1.70,1.51,1.13,0.38,0.19,0.57,1.32,42.9,0.75,1.51,0.00,1.51,0.19,1.89,0.38,0.00
Nicolas Cozza,FRA,DF,Nantes,25.0,1999,8.1,3.33,2.35,2.10,0.99,0.25,1.85,2.47,75.0,0.62,0.74,0.00,0.74,1.36,4.69,3.09,0.00
Trévis Dago,CIV,FW,Lille,19.0,2005,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,3.33,3.33,0.00,0.00
Thijs Dallinga,NED,FW,Toulouse,23.0,2000,25.0,1.08,0.56,0.24,0.40,0.44,0.28,0.52,53.8,0.24,0.40,0.16,0.24,0.12,1.20,1.24,0.00
Kevin Danso,AUT,DF,Lens,25.0,1998,29.0,0.79,0.48,0.41,0.38,0.00,0.52,1.03,50.0,0.52,1.45,1.03,0.41,0.79,1.59,3.93,0.03
Dante,BRA,DF,Nice,40.0,1983,29.6,1.99,0.98,1.45,0.47,0.07,1.22,1.62,75.0,0.41,1.32,0.64,0.68,1.11,3.11,2.57,0.07
Raimane Daou,COM,DF,Marseille,19.0,2004,0.3,3.33,3.33,3.33,0.00,0.00,3.33,6.67,50.0,3.33,0.00,0.00,0.00,0.00,3.33,6.67,0.00
Mohammed Daramy,DEN,FW,Reims,22.0,2002,18.3,0.55,0.49,0.22,0.22,0.11,0.33,0.87,37.5,0.55,0.27,0.05,0.22,0.22,0.77,0.22,0.00
Achraf Dari,MAR,DF,Brest,24.0,1999,1.3,0.77,0.77,0.77,0.00,0.00,0.00,1.54,0.0,1.54,1.54,0.00,1.54,3.85,4.62,6.92,0.77
Jonathan David,CAN,FW,Lille,24.0,2000,26.2,0.84,0.53,0.19,0.42,0.23,0.31,0.88,34.8,0.57,0.53,0.00,0.53,0.31,1.15,0.11,0.00
Thibault De Smet,BEL,DF,Reims,25.0,1998,20.3,2.76,1.72,1.77,0.79,0.20,1.63,2.91,55.9,1.28,1.23,0.25,0.99,1.03,3.79,2.51,0.05
Romain Del Castillo,FRA,FW,Brest,28.0,1996,27.2,1.58,0.96,0.51,0.59,0.48,0.55,2.39,23.1,1.84,1.14,0.04,1.10,0.33,1.91,0.26,0.00
Thomas Delaine,FRA,DF,Strasbourg,32.0,1992,21.0,1.71,0.81,1.33,0.33,0.05,0.95,1.95,48.8,1.00,0.81,0.10,0.71,0.81,2.52,2.29,0.00
