Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Lameck Banda,ZAM,FW,Lecce,23.0,2001,15.0,1.80,1.53,0.73,0.80,0.27,0.47,1.40,33.3,0.93,1.20,0.00,1.20,0.20,2.00,0.47,0.00
Daniel Bandeira,POR,MF,Hellas Verona,24.0,2000,4.3,1.40,1.16,0.23,0.93,0.23,0.70,1.40,50.0,0.70,0.47,0.00,0.47,0.70,2.09,1.40,0.00
Mattia Bani,ITA,DF,Genoa,30.0,1993,25.6,1.02,0.39,0.70,0.27,0.04,0.43,0.86,50.0,0.43,1.99,1.21,0.78,0.86,1.88,4.53,0.04
Antonín Barák,CZE,MF,Fiorentina,29.0,1994,5.9,0.68,0.17,0.17,0.34,0.17,0.51,1.02,50.0,0.51,0.85,0.00,0.85,0.34,1.02,0.51,0.00
Nicolò Barella,ITA,MF,Inter,27.0,1997,28.8,1.32,0.87,0.49,0.52,0.31,0.56,2.05,27.1,1.49,1.04,0.03,1.01,0.35,1.67,0.38,0.00
Enzo Barrenechea,ARG,MF,Frosinone,22.0,2001,28.3,2.19,1.41,0.92,0.99,0.28,0.99,2.33,42.4,1.34,1.52,0.35,1.17,0.88,3.07,2.01,0.07
Davide Bartesaghi,ITA,DF,Milan,18.0,2005,0.9,2.22,0.00,1.11,1.11,0.00,2.22,4.44,50.0,2.22,1.11,1.11,0.00,0.00,2.22,7.78,0.00
Federico Baschirotto,ITA,DF,Lecce,27.0,1996,32.6,0.55,0.31,0.43,0.12,0.00,0.18,0.40,46.2,0.21,1.17,0.74,0.43,0.67,1.23,4.02,0.03
Toma Bašić,CRO,MF,Salernitana,27.0,1996,9.9,1.31,0.91,0.61,0.61,0.10,0.81,1.72,47.1,0.91,1.72,0.61,1.11,1.01,2.32,2.02,0.00
Alessandro Bastoni,ITA,DF,Inter,25.0,1999,23.7,1.81,1.39,1.27,0.42,0.13,1.01,1.60,63.2,0.59,0.93,0.46,0.46,0.89,2.70,1.98,0.04
Simone Bastoni,ITA,MF,Empoli,27.0,1996,6.4,2.97,1.56,1.72,0.94,0.31,1.56,2.66,58.8,1.09,1.09,0.00,1.09,1.56,4.53,2.66,0.00
Reda Belahyane,FRA,MF,Hellas Verona,19.0,2004,0.2,5.00,5.00,0.00,5.00,0.00,5.00,5.00,100.0,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00
Raoul Bellanova,ITA,DF,Torino,23.0,2000,30.6,1.01,0.72,0.42,0.46,0.13,0.52,0.88,59.3,0.36,0.62,0.10,0.52,0.46,1.47,1.05,0.10
Andrea Belotti,ITA,FW,Fiorentina,30.0,1993,8.4,0.71,0.24,0.12,0.48,0.12,0.36,0.83,42.9,0.48,0.83,0.12,0.71,0.12,0.83,0.36,0.00
Andrea Belotti,ITA,FW,Roma,30.0,1993,7.5,1.07,0.53,0.27,0.40,0.40,0.40,0.80,50.0,0.40,0.93,0.00,0.93,0.27,1.33,0.40,0.00
Lucas Beltrán,ARG,FW,Fiorentina,23.0,2001,16.5,1.39,0.85,0.18,0.97,0.24,0.61,1.09,55.6,0.48,1.64,0.18,1.45,0.06,1.45,0.61,0.00
Ismaël Bennacer,ALG,MF,Milan,26.0,1997,9.1,2.53,1.54,0.99,1.54,0.00,0.99,1.98,50.0,0.99,1.10,0.33,0.77,0.99,3.52,0.88,0.22
Domenico Berardi,ITA,FW,Sassuolo,29.0,1994,15.9,1.07,0.50,0.44,0.57,0.06,0.13,1.32,9.5,1.19,1.07,0.00,1.07,0.82,1.89,0.57,0.00
Bartosz Bereszyński,POL,DF,Empoli,31.0,1992,16.2,2.16,1.23,1.42,0.56,0.19,1.30,2.10,61.8,0.80,1.11,0.43,0.68,1.05,3.21,2.90,0.00
Etrit Berisha,ALB,GK,Empoli,35.0,1989,14.0,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.0,0.07,0.00,0.00,0.00,0.00,0.00,0.50,0.07
Medon Berisha,ALB,MF,Lecce,20.0,2003,0.5,4.00,2.00,4.00,0.00,0.00,0.00,2.00,0.0,2.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00
Victor Bernth Kristiansen,DEN,DF,Bologna,21.0,2002,22.6,1.99,1.37,0.93,0.84,0.22,0.75,1.33,56.7,0.58,1.50,0.31,1.19,0.44,2.43,1.77,0.04
Beto,GNB,FW,Udinese,26.0,1998,0.8,1.25,0.00,0.00,0.00,1.25,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00
Davide Bettella,ITA,MF,Monza,24.0,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sam Beukema,NED,DF,Bologna,25.0,1998,27.1,1.00,0.41,0.52,0.41,0.07,0.59,0.92,64.0,0.33,1.22,0.70,0.52,0.55,1.55,3.54,0.00
Jaka Bijol,SVN,DF,Udinese,25.0,1999,19.2,1.77,1.20,1.41,0.36,0.00,0.89,1.46,60.7,0.57,1.56,0.83,0.73,1.09,2.86,6.15,0.05
El Bilal Touré,MLI,FW,Atalanta,22.0,2001,3.0,0.33,0.33,0.00,0.33,0.00,0.00,0.33,0.0,0.33,0.00,0.00,0.00,0.00,0.33,0.33,0.00
