Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Adrian Beck,GER,MF,Heidenheim,26.0,1997,10.8,2.04,1.20,0.74,1.11,0.19,0.83,2.22,37.5,1.39,1.48,0.00,1.48,0.37,2.41,1.39,0.00
Sheraldo Becker,SUR,FW,Union Berlin,29.0,1995,7.2,0.42,0.42,0.00,0.28,0.14,0.00,0.28,0.0,0.28,0.28,0.00,0.28,0.00,0.42,0.28,0.00
Chris Bedia,CIV,FW,Union Berlin,28.0,1996,0.7,1.43,1.43,0.00,1.43,0.00,0.00,1.43,0.0,1.43,2.86,0.00,2.86,0.00,1.43,0.00,0.00
Donny van de Beek,NED,MF,Eint Frankfurt,27.0,1997,4.0,2.00,0.75,0.75,0.75,0.50,0.75,1.75,42.9,1.00,1.25,0.25,1.00,0.75,2.75,0.25,0.00
Kevin Behrens,GER,FW,Wolfsburg,33.0,1991,6.6,0.30,0.15,0.00,0.15,0.15,0.00,0.15,0.0,0.15,1.36,0.00,1.36,0.45,0.76,0.91,0.00
Kevin Behrens,GER,FW,Union Berlin,33.0,1991,14.0,0.93,0.71,0.21,0.50,0.21,0.07,0.29,25.0,0.21,0.50,0.14,0.36,0.43,1.36,1.36,0.00
Maximilian Beier,GER,FW,Hoffenheim,21.0,2002,24.4,0.74,0.41,0.20,0.37,0.16,0.16,0.74,22.2,0.57,0.74,0.00,0.74,0.20,0.94,0.49,0.00
Stefan Bell,GER,DF,Mainz 05,32.0,1991,7.4,1.08,1.08,0.95,0.14,0.00,0.54,1.08,50.0,0.54,0.95,0.68,0.27,0.81,1.89,4.05,0.00
Ramy Bensebaini,ALG,DF,Dortmund,29.0,1995,11.5,2.96,1.83,1.83,0.96,0.17,2.09,2.96,70.6,0.87,1.91,0.61,1.30,1.39,4.35,3.22,0.00
Mergim Berisha,GER,FW,Hoffenheim,25.0,1998,1.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,1.25,0.63,0.63,0.00,0.00,0.00,0.00
Mergim Berisha,GER,FW,Augsburg,25.0,1998,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.71,0.00,0.71,0.00,0.00,2.14,0.00
Bernardo,BRA,DF,Bochum,28.0,1995,30.0,2.93,1.73,1.67,1.10,0.17,1.30,1.97,66.1,0.67,2.07,0.93,1.13,1.77,4.70,3.77,0.03
Matúš Bero,SVK,MF,Bochum,28.0,1995,16.8,1.61,1.07,0.65,0.60,0.36,0.71,1.67,42.9,0.95,1.37,0.18,1.19,0.60,2.20,1.13,0.00
Jan-Niklas Beste,GER,FW,Heidenheim,25.0,1999,26.0,2.50,1.54,1.15,0.81,0.54,0.96,1.96,49.0,1.00,1.62,0.04,1.58,0.65,3.15,1.12,0.00
Pep Biel,ESP,MF,Augsburg,27.0,1996,3.0,1.00,1.00,0.00,0.33,0.67,0.00,0.67,0.0,0.67,0.67,0.33,0.33,0.67,1.67,0.67,0.00
Tom Bischof,GER,MF,Hoffenheim,18.0,2005,1.7,4.12,2.35,2.94,0.59,0.59,0.59,4.71,12.5,4.12,1.18,0.00,1.18,0.59,4.71,1.18,0.00
Leonardo Bittencourt,GER,MF,Werder Bremen,30.0,1993,14.8,2.57,1.15,1.22,1.15,0.20,0.88,2.30,38.2,1.42,1.22,0.07,1.15,0.81,3.38,0.41,0.00
Hendry Blank,GER,DF,Dortmund,19.0,2004,0.5,2.00,0.00,2.00,0.00,0.00,2.00,2.00,100.0,0.00,2.00,0.00,2.00,0.00,2.00,8.00,0.00
Janis Blaswich,GER,GK,RB Leipzig,33.0,1991,20.0,0.05,0.05,0.05,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.05,0.30,0.15
Sacha Boey,FRA,DF,Bayern Munich,23.0,2000,1.2,1.67,0.00,1.67,0.00,0.00,0.83,1.67,50.0,0.83,0.83,0.00,0.83,0.83,2.50,1.67,0.00
Victor Boniface,NGA,FW,Leverkusen,23.0,2000,15.4,0.39,0.26,0.00,0.06,0.32,0.06,0.26,25.0,0.19,0.32,0.00,0.32,0.00,0.39,0.65,0.00
Leonardo Bonucci,ITA,DF,Union Berlin,37.0,1987,5.1,1.18,0.98,0.39,0.78,0.00,0.78,0.78,100.0,0.00,0.98,0.59,0.39,1.37,2.55,3.14,0.00
Yvandro Borges Sanches,LUX,MF,M'Gladbach,19.0,2004,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sebastiaan Bornauw,BEL,DF,Wolfsburg,25.0,1999,13.9,1.37,0.43,0.94,0.43,0.00,0.79,1.22,64.7,0.43,1.29,0.86,0.43,1.22,2.59,5.32,0.00
Rafael Borré,COL,FW,Werder Bremen,28.0,1995,11.0,0.91,0.64,0.18,0.36,0.36,0.45,1.45,31.3,1.00,0.73,0.18,0.55,0.18,1.09,0.91,0.00
Julian Brandt,GER,MF,Dortmund,28.0,1996,23.6,0.68,0.55,0.30,0.34,0.04,0.38,1.06,36.0,0.68,0.85,0.13,0.72,0.34,1.02,0.76,0.00
Fabian Bredlow,GER,GK,Stuttgart,29.0,1995,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.0,0.25,0.00,0.00,0.00,0.00,0.00,0.75,0.00
Tim Breithaupt,GER,MF,Augsburg,22.0,2002,4.9,3.06,1.43,2.04,1.02,0.00,2.04,3.27,62.5,1.22,1.84,0.61,1.22,1.02,4.08,1.84,0.00
Maximilian Breunig,GER,FW,Freiburg,23.0,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,0.00,10.0,0.00,0.00,0.00,0.00
John Brooks,USA,DF,Hoffenheim,31.0,1993,17.1,1.64,0.88,0.99,0.58,0.06,0.88,1.75,50.0,0.88,1.70,0.99,0.70,1.58,3.22,6.37,0.06
Moritz Broschinski,GER,FW,Bochum,23.0,2000,12.4,0.81,0.48,0.08,0.40,0.32,0.08,0.48,16.7,0.40,0.89,0.16,0.73,0.00,0.81,0.48,0.00
Alexander Brunst,GER,GK,Darmstadt 98,28.0,1995,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marius Bülter,GER,DF,Hoffenheim,31.0,1993,12.6,1.03,0.56,0.56,0.40,0.08,0.63,1.43,44.4,0.79,1.19,0.16,1.03,0.79,1.83,1.59,0.00
Jonathan Burkardt,GER,FW,Mainz 05,23.0,2000,14.1,0.71,0.50,0.14,0.28,0.28,0.28,0.64,44.4,0.35,0.99,0.21,0.78,0.21,0.92,0.14,0.00
Oliver Burke,SCO,FW,Werder Bremen,27.0,1997,0.4,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.0,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marnon Busch,GER,DF,Heidenheim,29.0,1994,6.6,1.67,1.36,0.91,0.45,0.30,1.06,1.82,58.3,0.76,1.36,0.30,1.06,1.52,3.18,1.82,0.00
Aurélio Buta,POR,DF,Eint Frankfurt,27.0,1997,18.1,2.15,1.38,1.05,0.88,0.22,1.10,1.99,55.6,0.88,1.27,0.28,0.99,0.83,2.98,1.99,0.00
Jamie Bynoe-Gittens,ENG,FW,Dortmund,19.0,2004,9.7,1.13,0.52,0.52,0.52,0.10,0.21,1.65,12.5,1.44,0.93,0.21,0.72,0.41,1.55,0.72,0.00
Anthony Caci,FRA,DF,Mainz 05,26.0,1997,25.6,2.03,0.78,1.05,0.94,0.04,0.94,1.56,60.0,0.63,1.52,0.27,1.25,1.13,3.16,1.60,0.00
Emre Can,GER,MF,Dortmund,30.0,1994,20.7,2.95,2.08,1.74,1.06,0.14,1.35,2.27,59.6,0.92,1.45,0.34,1.11,1.06,4.01,1.98,0.10
Irvin Cardona,FRA,MF,Augsburg,26.0,1997,0.6,1.67,1.67,0.00,0.00,1.67,1.67,5.00,33.3,3.33,1.67,0.00,1.67,0.00,1.67,1.67,0.00
Rasmus Carstensen,DEN,DF,Köln,23.0,2000,18.0,2.50,1.17,1.22,1.06,0.22,1.67,3.06,54.5,1.39,2.11,0.50,1.61,1.11,3.61,2.78,0.11
Fabio Carvalho,POR,MF,RB Leipzig,21.0,2002,1.8,1.67,0.56,0.00,1.11,0.56,0.56,1.67,33.3,1.11,4.44,0.00,4.44,0.00,1.67,0.56,0.00
Koen Casteels,BEL,GK,Wolfsburg,31.0,1992,22.0,0.09,0.05,0.09,0.00,0.00,0.09,0.14,66.7,0.05,0.00,0.00,0.00,0.00,0.09,0.73,0.18
Václav Černý,CZE,FW,Wolfsburg,26.0,1997,9.8,0.71,0.31,0.31,0.41,0.00,0.10,1.33,7.7,1.22,1.22,0.00,1.22,0.82,1.53,0.61,0.00
Julian Chabot,GER,DF,Köln,26.0,1998,27.4,1.86,1.39,1.31,0.51,0.04,1.09,1.82,60.0,0.73,2.15,1.31,0.84,1.57,3.43,4.93,0.00
El Chadaille Bitshiabu,FRA,DF,RB Leipzig,18.0,2005,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00
Fares Chaïbi,ALG,MF,Eint Frankfurt,21.0,2002,18.5,1.24,0.76,0.32,0.59,0.32,0.27,0.76,35.7,0.49,1.78,0.05,1.73,0.27,1.51,0.86,0.00
Timothy Chandler,USA,MF,Eint Frankfurt,34.0,1990,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fabio Chiarodia,ITA,DF,M'Gladbach,18.0,2005,1.6,4.38,2.50,3.13,0.00,1.25,2.50,2.50,100.0,0.00,1.25,0.63,0.63,1.88,6.25,5.00,0.00
Jacob Christensen,DEN,MF,Köln,22.0,2001,2.4,4.17,2.50,2.92,1.25,0.00,1.67,2.92,57.1,1.25,3.33,0.83,2.50,1.67,5.83,1.67,0.00
Nnamdi Collins,GER,DF,Eint Frankfurt,20.0,2004,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,2.00,4.00,0.00
